Dimension,Facet,Laura,Caterina
Neuroticism,Anxiety,6,9
Neuroticism,Anger,2,4
Neuroticism,Depression,4,7
Neuroticism,Self-Consciousness,7,10
Neuroticism,Immoderation,5,6
Neuroticism,Vulnerability,7,9
Extraversion,Friendliness,7,7
Extraversion,Gregariousness,6,5
Extraversion,Assertiveness,5,4
Extraversion,Activity Level,6,6
Extraversion,Excitement-Seeking,4,4
Extraversion,Cheerfulness,7,5
Openness,Imagination,10,7
Openness,Artistic Interests,8,6
Openness,Emotionality,8,10
Openness,Adventurousness,7,6
Openness,Intellect,11,7
Openness,Liberalism,7,6
Agreeableness,Trust,8,7
Agreeableness,Morality,7,8
Agreeableness,Altruism,10,7
Agreeableness,Cooperation,7,8
Agreeableness,Modesty,6,7
Agreeableness,Sympathy,10,8
Conscientiousness,Self-Efficacy,8,5
Conscientiousness,Orderliness,5,6
Conscientiousness,Dutifulness,8,8
Conscientiousness,Achievement-Striving,7,7
Conscientiousness,Self-Discipline,6,6
Conscientiousness,Cautiousness,7,7
