# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
16 32 0 0000ff
17 32 0 0000ff
18 32 0 0000ff
19 32 0 0000ff
20 32 0 0000ff
21 32 0 0000ff
22 32 0 0000ff
23 32 0 0000ff
24 32 0 0000ff
25 32 0 0000ff
26 32 0 0000ff
27 32 0 0000ff
28 32 0 0000ff
29 32 0 0000ff
30 32 0 0000ff
31 32 0 0000ff
16 33 0 0000ff
17 33 0 0000ff
18 33 0 0000ff
19 33 0 0000ff
20 33 0 0000ff
21 33 0 0000ff
22 33 0 0000ff
23 33 0 0000ff
24 33 0 0000ff
25 33 0 0000ff
26 33 0 0000ff
27 33 0 0000ff
28 33 0 0000ff
29 33 0 0000ff
30 33 0 0000ff
31 33 0 0000ff
16 34 0 0000ff
17 34 0 0000ff
18 34 0 0000ff
19 34 0 0000ff
20 34 0 0000ff
21 34 0 0000ff
22 34 0 0000ff
23 34 0 0000ff
24 34 0 0000ff
25 34 0 0000ff
26 34 0 0000ff
27 34 0 0000ff
28 34 0 0000ff
29 34 0 0000ff
30 34 0 0000ff
31 34 0 0000ff
16 35 0 0000ff
17 35 0 0000ff
18 35 0 0000ff
19 35 0 0000ff
20 35 0 0000ff
21 35 0 0000ff
22 35 0 0000ff
23 35 0 0000ff
24 35 0 0000ff
25 35 0 0000ff
26 35 0 0000ff
27 35 0 0000ff
28 35 0 0000ff
29 35 0 0000ff
30 35 0 0000ff
31 35 0 0000ff
16 36 0 0000ff
17 36 0 0000ff
18 36 0 0000ff
19 36 0 0000ff
20 36 0 0000ff
21 36 0 0000ff
22 36 0 0000ff
23 36 0 0000ff
24 36 0 0000ff
25 36 0 0000ff
26 36 0 0000ff
27 36 0 0000ff
28 36 0 0000ff
29 36 0 0000ff
30 36 0 0000ff
31 36 0 0000ff
16 37 0 0000ff
17 37 0 0000ff
18 37 0 0000ff
19 37 0 0000ff
20 37 0 0000ff
21 37 0 0000ff
22 37 0 0000ff
23 37 0 0000ff
24 37 0 0000ff
25 37 0 0000ff
26 37 0 0000ff
27 37 0 0000ff
28 37 0 0000ff
29 37 0 0000ff
30 37 0 0000ff
31 37 0 0000ff
16 38 0 0000ff
17 38 0 0000ff
18 38 0 0000ff
19 38 0 0000ff
20 38 0 0000ff
21 38 0 0000ff
22 38 0 0000ff
23 38 0 0000ff
24 38 0 0000ff
25 38 0 0000ff
26 38 0 0000ff
27 38 0 0000ff
28 38 0 0000ff
29 38 0 0000ff
30 38 0 0000ff
31 38 0 0000ff
16 39 0 0000ff
17 39 0 0000ff
18 39 0 0000ff
19 39 0 0000ff
20 39 0 0000ff
21 39 0 0000ff
22 39 0 0000ff
23 39 0 0000ff
24 39 0 0000ff
25 39 0 0000ff
26 39 0 0000ff
27 39 0 0000ff
28 39 0 0000ff
29 39 0 0000ff
30 39 0 0000ff
31 39 0 0000ff
16 40 0 0000ff
17 40 0 0000ff
18 40 0 0000ff
19 40 0 0000ff
20 40 0 0000ff
21 40 0 0000ff
22 40 0 0000ff
23 40 0 0000ff
24 40 0 0000ff
25 40 0 0000ff
26 40 0 0000ff
27 40 0 0000ff
28 40 0 0000ff
29 40 0 0000ff
30 40 0 0000ff
31 40 0 0000ff
16 41 0 0000ff
17 41 0 0000ff
18 41 0 0000ff
19 41 0 0000ff
20 41 0 0000ff
21 41 0 0000ff
22 41 0 0000ff
23 41 0 0000ff
24 41 0 0000ff
25 41 0 0000ff
26 41 0 0000ff
27 41 0 0000ff
28 41 0 0000ff
29 41 0 0000ff
30 41 0 0000ff
31 41 0 0000ff
16 42 0 0000ff
17 42 0 0000ff
18 42 0 0000ff
19 42 0 0000ff
20 42 0 0000ff
21 42 0 0000ff
22 42 0 0000ff
23 42 0 0000ff
24 42 0 0000ff
25 42 0 0000ff
26 42 0 0000ff
27 42 0 0000ff
28 42 0 0000ff
29 42 0 0000ff
30 42 0 0000ff
31 42 0 0000ff
16 43 0 0000ff
17 43 0 0000ff
18 43 0 0000ff
19 43 0 0000ff
20 43 0 0000ff
21 43 0 0000ff
22 43 0 0000ff
23 43 0 0000ff
24 43 0 0000ff
25 43 0 0000ff
26 43 0 0000ff
27 43 0 0000ff
28 43 0 0000ff
29 43 0 0000ff
30 43 0 0000ff
31 43 0 0000ff
16 44 0 0000ff
17 44 0 0000ff
18 44 0 0000ff
19 44 0 0000ff
20 44 0 0000ff
21 44 0 0000ff
22 44 0 0000ff
23 44 0 0000ff
24 44 0 0000ff
25 44 0 0000ff
26 44 0 0000ff
27 44 0 0000ff
28 44 0 0000ff
29 44 0 0000ff
30 44 0 0000ff
31 44 0 0000ff
16 45 0 0000ff
17 45 0 0000ff
18 45 0 0000ff
19 45 0 0000ff
20 45 0 0000ff
21 45 0 0000ff
22 45 0 0000ff
23 45 0 0000ff
24 45 0 0000ff
25 45 0 0000ff
26 45 0 0000ff
27 45 0 0000ff
28 45 0 0000ff
29 45 0 0000ff
30 45 0 0000ff
31 45 0 0000ff
16 46 0 0000ff
17 46 0 0000ff
18 46 0 0000ff
19 46 0 0000ff
20 46 0 0000ff
21 46 0 0000ff
22 46 0 0000ff
23 46 0 0000ff
24 46 0 0000ff
25 46 0 0000ff
26 46 0 0000ff
27 46 0 0000ff
28 46 0 0000ff
29 46 0 0000ff
30 46 0 0000ff
31 46 0 0000ff
16 47 0 0000ff
17 47 0 0000ff
18 47 0 0000ff
19 47 0 0000ff
20 47 0 0000ff
21 47 0 0000ff
22 47 0 0000ff
23 47 0 0000ff
24 47 0 0000ff
25 47 0 0000ff
26 47 0 0000ff
27 47 0 0000ff
28 47 0 0000ff
29 47 0 0000ff
30 47 0 0000ff
31 47 0 0000ff
16 32 1 ff0000
17 32 1 ff0000
21 32 1 ff0000
22 32 1 ff0000
23 32 1 ff0000
23 33 1 ff0000
23 34 1 ff0000
23 35 1 ff0000
23 36 1 ff0000
24 36 1 ff00aa
25 36 1 ff00aa
26 36 1 ff00aa
27 36 1 ff00aa
28 36 1 ff00aa
