# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 11 00bbff
0 1 11 00bbff
0 2 11 00bbff
0 3 11 00bbff
0 4 11 00bbff
0 5 11 00bbff
0 6 11 00bbff
0 7 11 00bbff
0 8 11 00bbff
0 9 11 00bbff
0 10 11 00bbff
0 11 11 00bbff
0 12 11 00bbff
0 13 11 00bbff
0 14 11 00bbff
0 15 11 00bbff
0 16 11 00bbff
0 17 11 00bbff
0 18 11 00bbff
0 19 11 00bbff
0 20 11 00bbff
0 21 11 00bbff
0 22 11 00bbff
0 23 11 00bbff
0 24 11 00bbff
0 25 11 00bbff
0 26 11 00bbff
0 27 11 00bbff
0 28 11 00bbff
0 29 11 00bbff
0 30 11 00bbff
0 31 11 00bbff
0 32 11 00bbff
0 33 11 00bbff
0 34 11 00bbff
0 35 11 00bbff
0 36 11 00bbff
0 37 11 00bbff
0 38 11 00bbff
0 39 11 00bbff
0 40 11 00bbff
0 41 11 00bbff
0 42 11 00bbff
0 43 11 00bbff
0 44 11 00bbff
0 45 11 00bbff
0 46 11 00bbff
0 47 11 00bbff
1 0 11 00bbff
1 1 11 00bbff
1 2 11 00bbff
1 3 11 00bbff
1 4 11 00bbff
1 5 11 00bbff
1 6 11 00bbff
1 7 11 00bbff
1 8 11 00bbff
1 9 11 00bbff
1 10 11 00bbff
1 11 11 00bbff
1 12 11 00bbff
1 13 11 00bbff
1 14 11 00bbff
1 15 11 00bbff
1 16 11 00bbff
1 17 11 00bbff
1 18 11 00bbff
1 19 11 00bbff
1 20 11 00bbff
1 21 11 00bbff
1 22 11 00bbff
1 23 11 00bbff
1 24 11 00bbff
1 25 11 00bbff
1 26 11 00bbff
1 27 11 00bbff
1 28 11 00bbff
1 29 11 00bbff
1 30 11 00bbff
1 31 11 00bbff
1 32 11 00bbff
1 33 11 00bbff
1 34 11 00bbff
1 35 11 00bbff
1 36 11 00bbff
1 37 11 00bbff
1 38 11 00bbff
1 39 11 00bbff
1 40 11 00bbff
1 41 11 00bbff
1 42 11 00bbff
1 43 11 00bbff
1 44 11 00bbff
1 45 11 00bbff
1 46 11 00bbff
1 47 11 00bbff
2 0 11 00bbff
2 1 11 00bbff
2 2 11 00bbff
2 3 11 00bbff
2 4 11 00bbff
2 5 11 00bbff
2 6 11 00bbff
2 7 11 00bbff
2 8 11 00bbff
2 9 11 00bbff
2 10 11 00bbff
2 11 11 00bbff
2 12 11 00bbff
2 13 11 00bbff
2 14 11 00bbff
2 15 11 00bbff
2 16 11 00bbff
2 17 11 00bbff
2 18 11 00bbff
2 19 11 00bbff
2 20 11 00bbff
2 21 11 00bbff
2 22 11 00bbff
2 23 11 00bbff
2 24 11 00bbff
2 25 11 00bbff
2 26 11 00bbff
2 27 11 00bbff
2 28 11 00bbff
2 29 11 00bbff
2 30 11 00bbff
2 31 11 00bbff
2 32 11 00bbff
2 33 11 00bbff
2 34 11 00bbff
2 35 11 00bbff
2 36 11 00bbff
2 37 11 00bbff
2 38 11 00bbff
2 39 11 00bbff
2 40 11 00bbff
2 41 11 00bbff
2 42 11 00bbff
2 43 11 00bbff
2 44 11 00bbff
2 45 11 00bbff
2 46 11 00bbff
2 47 11 00bbff
3 0 11 00bbff
3 1 11 00bbff
3 2 11 00bbff
3 3 11 00bbff
3 4 11 00bbff
3 5 11 00bbff
3 6 11 00bbff
3 7 11 00bbff
3 8 11 00bbff
3 9 11 00bbff
3 10 11 00bbff
3 11 11 00bbff
3 12 11 00bbff
3 13 11 00bbff
3 14 11 00bbff
3 15 11 00bbff
3 16 11 00bbff
3 17 11 00bbff
3 18 11 00bbff
3 19 11 00bbff
3 20 11 00bbff
3 21 11 00bbff
3 22 11 00bbff
3 23 11 00bbff
3 24 11 00bbff
3 25 11 00bbff
3 26 11 00bbff
3 27 11 00bbff
3 28 11 00bbff
3 29 11 00bbff
3 30 11 00bbff
3 31 11 00bbff
3 32 11 00bbff
3 33 11 00bbff
3 34 11 00bbff
3 35 11 00bbff
3 36 11 00bbff
3 37 11 00bbff
3 38 11 00bbff
3 39 11 00bbff
3 40 11 00bbff
3 41 11 00bbff
3 42 11 00bbff
3 43 11 00bbff
3 44 11 00bbff
3 45 11 00bbff
3 46 11 00bbff
3 47 11 00bbff
4 0 11 00bbff
4 1 11 00bbff
4 2 11 00bbff
4 3 11 00bbff
4 4 11 00bbff
4 5 11 00bbff
4 6 11 00bbff
4 7 11 00bbff
4 8 11 00bbff
4 9 11 00bbff
4 10 11 00bbff
4 11 11 00bbff
4 12 11 00bbff
4 13 11 00bbff
4 14 11 00bbff
4 15 11 00bbff
4 16 11 00bbff
4 17 11 00bbff
4 18 11 00bbff
4 19 11 00bbff
4 20 11 00bbff
4 21 11 00bbff
4 22 11 00bbff
4 23 11 00bbff
4 24 11 00bbff
4 25 11 00bbff
4 26 11 00bbff
4 27 11 00bbff
4 28 11 00bbff
4 29 11 00bbff
4 30 11 00bbff
4 31 11 00bbff
4 32 11 00bbff
4 33 11 00bbff
4 34 11 00bbff
4 35 11 00bbff
4 36 11 00bbff
4 37 11 00bbff
4 38 11 00bbff
4 39 11 00bbff
4 40 11 00bbff
4 41 11 00bbff
4 42 11 00bbff
4 43 11 00bbff
4 44 11 00bbff
