# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
23 1 1 ff0000
23 2 1 ff0000
23 3 1 ff0000
23 4 1 ff0000
23 5 1 ff0000
23 6 1 ff0000
23 7 1 ff0000
23 8 1 ff0000
23 9 1 ff0000
23 10 1 ff0000
23 11 1 ff0000
23 12 1 ff0000
23 13 1 ff0000
23 17 1 ff0000
23 18 1 ff0000
23 19 1 ff0000
23 20 1 ff0000
23 21 1 ff0000
23 22 1 ff0000
23 23 1 ff0000
23 24 1 ff0000
23 25 1 ff0000
23 26 1 ff0000
23 27 1 ff0000
23 28 1 ff0000
23 29 1 ff0000
23 30 1 ff0000
23 31 1 ff0000
23 32 1 ff0000
23 33 1 ff0000
23 34 1 ff0000
23 35 1 ff0000
23 36 1 ff0000
23 37 1 ff0000
23 38 1 ff0000
23 39 1 ff0000
23 40 1 ff0000
23 41 1 ff0000
23 42 1 ff0000
23 43 1 ff0000
23 44 1 ff0000
23 45 1 ff0000
