# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
57 32 1 ffffaa
58 32 1 ffffaa
59 32 1 ffffaa
60 32 1 ffffaa
61 32 1 ffffaa
62 32 1 ffffaa
63 32 1 ffffaa
64 32 1 ffffaa
65 32 1 ffffaa
66 32 1 ffffaa
67 32 1 ffffaa
68 32 1 ffffaa
69 32 1 ffffaa
70 32 1 ffffaa
71 32 1 ffffaa
72 32 1 ffffaa
73 32 1 ffffaa
74 32 1 ffffaa
75 32 1 ffffaa
76 32 1 ffffaa
77 32 1 ffffaa
78 32 1 ffffaa
57 32 2 ffffaa
58 32 2 ffffaa
59 32 2 ffffaa
60 32 2 ffffaa
61 32 2 ffffaa
62 32 2 ffffaa
63 32 2 ffffaa
64 32 2 ffffaa
65 32 2 ffffaa
66 32 2 ffffaa
67 32 2 ffffaa
68 32 2 ffffaa
69 32 2 ffffaa
70 32 2 ffffaa
71 32 2 ffffaa
72 32 2 ffffaa
73 32 2 ffffaa
74 32 2 ffffaa
75 32 2 ffffaa
76 32 2 ffffaa
77 32 2 ffffaa
78 32 2 ffffaa
57 32 3 ffffaa
58 32 3 ffffaa
59 32 3 ffffaa
60 32 3 ffffaa
61 32 3 ffffaa
62 32 3 ffffaa
63 32 3 ffffaa
64 32 3 ffffaa
65 32 3 ffffaa
66 32 3 ffffaa
67 32 3 ffffaa
68 32 3 ffffaa
69 32 3 ffffaa
70 32 3 ffffaa
71 32 3 ffffaa
72 32 3 ffffaa
73 32 3 ffffaa
74 32 3 ffffaa
75 32 3 ffffaa
76 32 3 ffffaa
77 32 3 ffffaa
78 32 3 ffffaa
57 32 4 ffffaa
58 32 4 ffffaa
59 32 4 ffffaa
60 32 4 ffffaa
61 32 4 ffffaa
62 32 4 ffffaa
63 32 4 ffffaa
64 32 4 ffffaa
65 32 4 ffffaa
66 32 4 ffffaa
67 32 4 ffffaa
68 32 4 ffffaa
69 32 4 ffffaa
70 32 4 ffffaa
71 32 4 ffffaa
72 32 4 ffffaa
73 32 4 ffffaa
74 32 4 ffffaa
75 32 4 ffffaa
76 32 4 ffffaa
77 32 4 ffffaa
78 32 4 ffffaa
57 32 5 ffffaa
58 32 5 ffffaa
59 32 5 ffffaa
60 32 5 ffffaa
61 32 5 ffffaa
62 32 5 ffffaa
63 32 5 ffffaa
64 32 5 ffffaa
65 32 5 ffffaa
66 32 5 ffffaa
67 32 5 ffffaa
68 32 5 ffffaa
69 32 5 ffffaa
70 32 5 ffffaa
71 32 5 ffffaa
72 32 5 ffffaa
73 32 5 ffffaa
74 32 5 ffffaa
75 32 5 ffffaa
76 32 5 ffffaa
77 32 5 ffffaa
78 32 5 ffffaa
57 32 6 ffffaa
58 32 6 ffffaa
59 32 6 ffffaa
60 32 6 ffffaa
61 32 6 ffffaa
62 32 6 ffffaa
63 32 6 ffffaa
64 32 6 ffffaa
65 32 6 ffffaa
66 32 6 ffffaa
67 32 6 ffffaa
68 32 6 ffffaa
69 32 6 ffffaa
70 32 6 ffffaa
71 32 6 ffffaa
72 32 6 ffffaa
73 32 6 ffffaa
74 32 6 ffffaa
75 32 6 ffffaa
76 32 6 ffffaa
77 32 6 ffffaa
78 32 6 ffffaa
57 32 7 ffffaa
58 32 7 ffffaa
59 32 7 ffffaa
60 32 7 ffffaa
61 32 7 ffffaa
62 32 7 ffffaa
63 32 7 ffffaa
64 32 7 ffffaa
65 32 7 ffffaa
66 32 7 ffffaa
67 32 7 ffffaa
68 32 7 ffffaa
69 32 7 ffffaa
70 32 7 ffffaa
71 32 7 ffffaa
72 32 7 ffffaa
73 32 7 ffffaa
74 32 7 ffffaa
75 32 7 ffffaa
76 32 7 ffffaa
77 32 7 ffffaa
78 32 7 ffffaa
57 32 8 ffffaa
58 32 8 ffffaa
59 32 8 ffffaa
60 32 8 ffffaa
61 32 8 ffffaa
62 32 8 ffffaa
63 32 8 ffffaa
64 32 8 ffffaa
65 32 8 ffffaa
66 32 8 ffffaa
67 32 8 ffffaa
68 32 8 ffffaa
69 32 8 ffffaa
70 32 8 ffffaa
71 32 8 ffffaa
72 32 8 ffffaa
73 32 8 ffffaa
74 32 8 ffffaa
75 32 8 ffffaa
76 32 8 ffffaa
77 32 8 ffffaa
78 32 8 ffffaa
57 32 9 ffffaa
58 32 9 ffffaa
59 32 9 ffffaa
60 32 9 ffffaa
61 32 9 ffffaa
62 32 9 ffffaa
63 32 9 ffffaa
64 32 9 ffffaa
65 32 9 ffffaa
66 32 9 ffffaa
67 32 9 ffffaa
68 32 9 ffffaa
69 32 9 ffffaa
70 32 9 ffffaa
71 32 9 ffffaa
72 32 9 ffffaa
73 32 9 ffffaa
74 32 9 ffffaa
75 32 9 ffffaa
76 32 9 ffffaa
77 32 9 ffffaa
78 32 9 ffffaa
57 32 10 ffffaa
58 32 10 ffffaa
59 32 10 ffffaa
60 32 10 ffffaa
61 32 10 ffffaa
62 32 10 ffffaa
63 32 10 ffffaa
64 32 10 ffffaa
65 32 10 ffffaa
66 32 10 ffffaa
67 32 10 ffffaa
68 32 10 ffffaa
69 32 10 ffffaa
70 32 10 ffffaa
71 32 10 ffffaa
72 32 10 ffffaa
73 32 10 ffffaa
74 32 10 ffffaa
75 32 10 ffffaa
76 32 10 ffffaa
77 32 10 ffffaa
78 32 10 ffffaa
64 33 1 ffffaa
64 34 1 ffffaa
64 35 1 ffffaa
64 36 1 ffffaa
64 37 1 ffffaa
64 38 1 ffffaa
64 39 1 ffffaa
64 40 1 ffffaa
64 41 1 ffffaa
64 42 1 ffffaa
64 43 1 ffffaa
64 44 1 ffffaa
64 33 2 ffffaa
64 34 2 ffffaa
64 35 2 ffffaa
64 36 2 ffffaa
64 37 2 ffffaa
64 38 2 ffffaa
64 39 2 ffffaa
64 40 2 ffffaa
64 41 2 ffffaa
64 42 2 ffffaa
64 43 2 ffffaa
64 44 2 ffffaa
64 33 3 ffffaa
64 34 3 ffffaa
64 35 3 ffffaa
64 36 3 ffffaa
64 37 3 ffffaa
64 38 3 ffffaa
64 39 3 ffffaa
64 40 3 ffffaa
64 41 3 ffffaa
64 42 3 ffffaa
64 43 3 ffffaa
64 44 3 ffffaa
64 33 4 ffffaa
64 34 4 ffffaa
64 35 4 ffffaa
64 36 4 ffffaa
64 37 4 ffffaa
64 38 4 ffffaa
64 39 4 ffffaa
64 40 4 ffffaa
64 41 4 ffffaa
64 42 4 ffffaa
64 43 4 ffffaa
64 44 4 ffffaa
64 33 5 ffffaa
64 34 5 ffffaa
64 35 5 ffffaa
64 36 5 ffffaa
64 37 5 ffffaa
64 38 5 ffffaa
64 39 5 ffffaa
64 40 5 ffffaa
64 41 5 ffffaa
64 42 5 ffffaa
64 43 5 ffffaa
64 44 5 ffffaa
64 33 6 ffffaa
64 34 6 ffffaa
64 35 6 ffffaa
64 36 6 ffffaa
64 37 6 ffffaa
64 38 6 ffffaa
64 39 6 ffffaa
64 40 6 ffffaa
64 41 6 ffffaa
64 42 6 ffffaa
64 43 6 ffffaa
64 44 6 ffffaa
64 33 7 ffffaa
64 34 7 ffffaa
64 35 7 ffffaa
64 36 7 ffffaa
64 37 7 ffffaa
64 38 7 ffffaa
64 39 7 ffffaa
64 40 7 ffffaa
64 41 7 ffffaa
64 42 7 ffffaa
64 43 7 ffffaa
64 44 7 ffffaa
64 45 7 ffffaa
64 46 7 ffffaa
64 47 7 ffffaa
64 33 8 ffffaa
64 34 8 ffffaa
