# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-2 -6 0 ffffff
-1 -6 0 ffffff
-4 -5 0 ffffff
-3 -5 0 ffffff
-2 -5 0 ffffff
-1 -5 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-2 -2 1 ffffff
-1 -2 1 ffffff
-3 -1 1 ffffff
-2 -1 1 ffffff
-1 -1 1 ffffff
0 -6 0 ffffff
1 -6 0 ffffff
2 -6 0 ffffff
0 -5 0 ffffff
1 -5 0 ffffff
2 -5 0 ffffff
3 -5 0 ffffff
4 -5 0 ffffff
0 -4 0 ffffff
1 -4 0 ffffff
2 -4 0 ffffff
3 -4 0 ffffff
4 -4 0 ffffff
5 -4 0 ffffff
6 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
5 -3 0 ffffff
6 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
6 -2 0 ffffff
7 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
6 -1 0 ffffff
7 -1 0 ffffff
0 -2 1 ffffff
1 -2 1 ffffff
2 -2 1 ffffff
0 -1 1 ffffff
1 -1 1 ffffff
2 -1 1 ffffff
3 -1 1 ffffff
-8 0 0 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
