# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
6 0 0 ffffff
7 0 0 ffffff
8 0 0 ffffff
9 0 0 ffffff
10 0 0 ffffff
11 0 0 ffffff
12 0 0 ffffff
13 0 0 ffffff
14 0 0 ffffff
15 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
7 1 0 ffffff
8 1 0 ffffff
9 1 0 ffffff
10 1 0 ffffff
11 1 0 ffffff
12 1 0 ffffff
13 1 0 ffffff
14 1 0 ffffff
15 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
7 2 0 ffffff
8 2 0 ffffff
9 2 0 ffffff
10 2 0 ffffff
11 2 0 ffffff
12 2 0 ffffff
13 2 0 ffffff
14 2 0 ffffff
15 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
6 3 0 ffffff
7 3 0 ffffff
8 3 0 ffffff
9 3 0 ffffff
10 3 0 ffffff
11 3 0 ffffff
12 3 0 ffffff
13 3 0 ffffff
14 3 0 ffffff
15 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
6 4 0 ffffff
7 4 0 ffffff
8 4 0 ffffff
9 4 0 ffffff
10 4 0 ffffff
11 4 0 ffffff
12 4 0 ffffff
13 4 0 ffffff
14 4 0 ffffff
15 4 0 ffffff
0 5 0 ffffff
1 5 0 ffffff
2 5 0 ffffff
3 5 0 ffffff
4 5 0 ffffff
5 5 0 ffffff
6 5 0 ffffff
7 5 0 ffffff
8 5 0 ffffff
