# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 47 1 ff0000
1 47 1 ff0000
2 47 1 ff0000
3 47 1 ff0000
4 47 1 ff0000
5 47 1 ff0000
6 47 1 ff0000
7 47 1 ff0000
8 47 1 ff0000
9 47 1 ff0000
10 47 1 ff0000
11 47 1 ff0000
15 47 1 ff0000
16 47 1 ff0000
17 47 1 ff0000
18 47 1 ff0000
19 47 1 ff0000
20 47 1 ff0000
21 47 1 ff0000
22 47 1 ff0000
23 47 1 ff0000
24 47 1 ff0000
25 47 1 ff0000
26 47 1 ff0000
27 47 1 ff0000
28 47 1 ff0000
29 47 1 ff0000
30 47 1 ff0000
31 47 1 ff0000
32 47 1 ff0000
33 47 1 ff0000
34 47 1 ff0000
35 47 1 ff0000
36 47 1 ff0000
37 47 1 ff0000
38 47 1 ff0000
39 47 1 ff0000
40 47 1 ff0000
41 47 1 ff0000
42 47 1 ff0000
43 47 1 ff0000
44 47 1 ff0000
45 47 1 ff0000
46 47 1 ff0000
47 47 1 ff0000
48 47 1 ff0000
49 47 1 ff0000
50 47 1 ff0000
51 47 1 ff0000
52 47 1 ff0000
53 47 1 ff0000
54 47 1 ff0000
55 47 1 ff0000
56 47 1 ff0000
57 47 1 ff0000
58 47 1 ff0000
59 47 1 ff0000
60 47 1 ff0000
61 47 1 ff0000
62 47 1 ff0000
63 47 1 ff0000
64 47 1 ff0000
65 47 1 ff0000
66 47 1 ff0000
67 47 1 ff0000
68 47 1 ff0000
69 47 1 ff0000
70 47 1 ff0000
71 47 1 ff0000
75 47 1 ff0000
76 47 1 ff0000
77 47 1 ff0000
78 47 1 ff0000
79 47 1 ff0000
0 47 2 ff0000
1 47 2 ff0000
2 47 2 ff0000
3 47 2 ff0000
4 47 2 ff0000
5 47 2 ff0000
6 47 2 ff0000
7 47 2 ff0000
8 47 2 ff0000
9 47 2 ff0000
10 47 2 ff0000
11 47 2 ff0000
15 47 2 ff0000
16 47 2 ff0000
17 47 2 ff0000
18 47 2 ff0000
19 47 2 ff0000
20 47 2 ff0000
21 47 2 ff0000
22 47 2 ff0000
23 47 2 ff0000
24 47 2 ff0000
25 47 2 ff0000
26 47 2 ff0000
27 47 2 ff0000
28 47 2 ff0000
29 47 2 ff0000
30 47 2 ff0000
31 47 2 ff0000
32 47 2 ff0000
33 47 2 ff0000
34 47 2 ff0000
35 47 2 ff0000
36 47 2 ff0000
37 47 2 ff0000
38 47 2 ff0000
39 47 2 ff0000
40 47 2 ff0000
41 47 2 ff0000
42 47 2 ff0000
43 47 2 ff0000
44 47 2 ff0000
45 47 2 ff0000
46 47 2 ff0000
47 47 2 ff0000
48 47 2 ff0000
49 47 2 ff0000
50 47 2 ff0000
51 47 2 ff0000
52 47 2 ff0000
53 47 2 ff0000
54 47 2 ff0000
55 47 2 ff0000
56 47 2 ff0000
57 47 2 ff0000
58 47 2 ff0000
59 47 2 ff0000
60 47 2 ff0000
61 47 2 ff0000
62 47 2 ff0000
63 47 2 ff0000
64 47 2 ff0000
65 47 2 ff0000
66 47 2 ff0000
67 47 2 ff0000
68 47 2 ff0000
69 47 2 ff0000
70 47 2 ff0000
71 47 2 ff0000
75 47 2 ff0000
76 47 2 ff0000
77 47 2 ff0000
78 47 2 ff0000
79 47 2 ff0000
0 47 3 ff0000
1 47 3 ff0000
2 47 3 ff0000
3 47 3 ff0000
4 47 3 ff0000
5 47 3 ff0000
6 47 3 ff0000
7 47 3 ff0000
8 47 3 ff0000
9 47 3 ff0000
10 47 3 ff0000
11 47 3 ff0000
15 47 3 ff0000
16 47 3 ff0000
17 47 3 ff0000
18 47 3 ff0000
19 47 3 ff0000
20 47 3 ff0000
21 47 3 ff0000
22 47 3 ff0000
23 47 3 ff0000
24 47 3 ff0000
25 47 3 ff0000
26 47 3 ff0000
27 47 3 ff0000
28 47 3 ff0000
29 47 3 ff0000
30 47 3 ff0000
