# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 47 1 ff0000
0 46 1 ff0000
0 45 1 ff0000
0 44 1 ff0000
0 43 1 ff0000
0 42 1 ff0000
0 41 1 ff0000
0 40 1 ff0000
0 39 1 ff0000
0 38 1 ff0000
0 37 1 ff0000
0 36 1 ff0000
0 35 1 ff0000
0 34 1 ff0000
0 33 1 ff0000
0 32 1 ff0000
0 31 1 ff0000
0 30 1 ff0000
0 29 1 ff0000
0 28 1 ff0000
0 27 1 ff0000
0 26 1 ff0000
0 25 1 ff0000
0 24 1 ff0000
0 23 1 ff0000
0 22 1 ff0000
0 21 1 ff0000
0 20 1 ff0000
0 19 1 ff0000
0 18 1 ff0000
0 17 1 ff0000
0 16 1 ff0000
0 15 1 ff0000
0 14 1 ff0000
0 13 1 ff0000
0 12 1 ff0000
0 11 1 ff0000
0 10 1 ff0000
0 9 1 ff0000
0 8 1 ff0000
0 7 1 ff0000
0 6 1 ff0000
0 5 1 ff0000
0 4 1 ff0000
0 3 1 ff0000
0 2 1 ff0000
0 1 1 ff0000
0 0 1 ff0000
0 47 2 ff0000
0 46 2 ff0000
0 45 2 ff0000
0 44 2 ff0000
0 43 2 ff0000
0 42 2 ff0000
0 41 2 ff0000
0 40 2 ff0000
0 39 2 ff0000
0 38 2 ff0000
0 37 2 ff0000
0 36 2 ff0000
0 35 2 ff0000
0 34 2 ff0000
0 33 2 ff0000
0 32 2 ff0000
0 31 2 ff0000
0 30 2 ff0000
0 29 2 ff0000
0 28 2 ff0000
0 27 2 ff0000
0 26 2 ff0000
0 25 2 ff0000
0 24 2 ff0000
0 23 2 ff0000
0 22 2 ff0000
0 21 2 ff0000
0 20 2 ff0000
0 19 2 ff0000
0 18 2 ff0000
0 17 2 ff0000
0 16 2 ff0000
0 15 2 ff0000
0 14 2 ff0000
0 13 2 ff0000
0 12 2 ff0000
0 11 2 ff0000
0 10 2 ff0000
0 9 2 ff0000
0 8 2 ff0000
0 7 2 ff0000
0 6 2 ff0000
0 5 2 ff0000
0 4 2 ff0000
0 3 2 ff0000
0 2 2 ff0000
0 1 2 ff0000
0 0 2 ff0000
0 47 3 ff0000
0 46 3 ff0000
0 45 3 ff0000
0 44 3 ff0000
0 43 3 ff0000
0 42 3 ff0000
0 41 3 ff0000
0 40 3 ff0000
0 39 3 ff0000
0 38 3 ff0000
0 37 3 ff0000
0 36 3 ff0000
0 35 3 ff0000
0 34 3 ff0000
0 33 3 ff0000
0 32 3 ff0000
0 31 3 ff0000
0 30 3 ff0000
0 29 3 ff0000
0 28 3 ff0000
0 27 3 ff0000
0 26 3 ff0000
0 25 3 ff0000
0 24 3 ff0000
0 23 3 ff0000
0 22 3 ff0000
0 21 3 ff0000
0 20 3 ff0000
0 19 3 ff0000
0 18 3 ff0000
0 17 3 ff0000
0 16 3 ff0000
0 15 3 ff0000
0 14 3 ff0000
0 13 3 ff0000
0 12 3 ff0000
0 11 3 ff0000
0 10 3 ff0000
0 9 3 ff0000
0 8 3 ff0000
0 7 3 ff0000
0 6 3 ff0000
0 5 3 ff0000
0 4 3 ff0000
0 3 3 ff0000
0 2 3 ff0000
0 1 3 ff0000
0 0 3 ff0000
0 0 4 ff0000
0 1 4 ff0000
0 2 4 ff0000
0 3 4 ff0000
0 4 4 ff0000
0 5 4 ff0000
0 6 4 ff0000
0 10 4 ff0000
0 11 4 ff0000
0 12 4 ff0000
0 13 4 ff0000
0 14 4 ff0000
0 15 4 ff0000
0 19 4 ff0000
0 20 4 ff0000
0 21 4 ff0000
0 22 4 ff0000
0 23 4 ff0000
0 24 4 ff0000
0 28 4 ff0000
0 29 4 ff0000
0 30 4 ff0000
0 31 4 ff0000
0 32 4 ff0000
0 33 4 ff0000
0 34 4 ff0000
0 38 4 ff0000
0 39 4 ff0000
0 40 4 ff0000
0 41 4 ff0000
0 45 4 ff0000
0 46 4 ff0000
0 47 4 ff0000
0 0 5 ff0000
0 1 5 ff0000
0 2 5 ff0000
0 3 5 ff0000
0 4 5 ff0000
0 5 5 ff0000
0 6 5 ff0000
0 10 5 ff0000
0 11 5 ff0000
0 12 5 ff0000
0 13 5 ff0000
0 14 5 ff0000
0 15 5 ff0000
0 19 5 ff0000
0 20 5 ff0000
0 21 5 ff0000
0 22 5 ff0000
0 23 5 ff0000
0 24 5 ff0000
0 28 5 ff0000
0 29 5 ff0000
0 30 5 ff0000
0 31 5 ff0000
0 32 5 ff0000
0 33 5 ff0000
0 34 5 ff0000
0 38 5 ff0000
0 39 5 ff0000
0 40 5 ff0000
0 41 5 ff0000
0 45 5 ff0000
0 46 5 ff0000
0 47 5 ff0000
0 0 6 ff0000
0 1 6 ff0000
0 2 6 ff0000
0 3 6 ff0000
0 4 6 ff0000
0 5 6 ff0000
0 6 6 ff0000
0 10 6 ff0000
0 11 6 ff0000
0 12 6 ff0000
0 13 6 ff0000
0 14 6 ff0000
0 15 6 ff0000
0 19 6 ff0000
0 20 6 ff0000
0 21 6 ff0000
0 22 6 ff0000
0 23 6 ff0000
0 24 6 ff0000
0 28 6 ff0000
0 29 6 ff0000
0 30 6 ff0000
0 31 6 ff0000
0 32 6 ff0000
0 33 6 ff0000
0 34 6 ff0000
0 38 6 ff0000
0 39 6 ff0000
0 40 6 ff0000
0 41 6 ff0000
0 45 6 ff0000
0 46 6 ff0000
0 47 6 ff0000
0 0 7 ff0000
0 1 7 ff0000
0 2 7 ff0000
0 3 7 ff0000
0 4 7 ff0000
0 5 7 ff0000
0 6 7 ff0000
0 10 7 ff0000
0 11 7 ff0000
0 12 7 ff0000
0 13 7 ff0000
0 14 7 ff0000
0 15 7 ff0000
0 19 7 ff0000
0 20 7 ff0000
0 21 7 ff0000
0 22 7 ff0000
0 23 7 ff0000
0 24 7 ff0000
0 28 7 ff0000
0 29 7 ff0000
0 30 7 ff0000
0 31 7 ff0000
0 32 7 ff0000
0 33 7 ff0000
0 34 7 ff0000
0 38 7 ff0000
0 39 7 ff0000
0 40 7 ff0000
0 41 7 ff0000
0 45 7 ff0000
0 46 7 ff0000
0 47 7 ff0000
0 47 8 ff0000
0 46 8 ff0000
0 45 8 ff0000
0 44 8 ff0000
0 43 8 ff0000
0 42 8 ff0000
0 41 8 ff0000
0 40 8 ff0000
0 39 8 ff0000
0 38 8 ff0000
0 37 8 ff0000
0 36 8 ff0000
0 35 8 ff0000
0 34 8 ff0000
0 33 8 ff0000
0 32 8 ff0000
0 31 8 ff0000
0 30 8 ff0000
0 29 8 ff0000
0 28 8 ff0000
0 27 8 ff0000
0 26 8 ff0000
0 25 8 ff0000
0 24 8 ff0000
0 23 8 ff0000
0 22 8 ff0000
0 21 8 ff0000
0 20 8 ff0000
0 19 8 ff0000
0 18 8 ff0000
0 17 8 ff0000
0 16 8 ff0000
0 15 8 ff0000
0 14 8 ff0000
0 13 8 ff0000
0 12 8 ff0000
0 11 8 ff0000
0 10 8 ff0000
0 9 8 ff0000
0 8 8 ff0000
0 7 8 ff0000
0 6 8 ff0000
0 5 8 ff0000
0 4 8 ff0000
0 3 8 ff0000
0 2 8 ff0000
0 1 8 ff0000
0 0 8 ff0000
0 47 9 ff0000
0 46 9 ff0000
0 45 9 ff0000
0 44 9 ff0000
0 43 9 ff0000
0 42 9 ff0000
0 41 9 ff0000
0 40 9 ff0000
0 39 9 ff0000
0 38 9 ff0000
0 37 9 ff0000
0 36 9 ff0000
0 35 9 ff0000
0 34 9 ff0000
0 33 9 ff0000
0 32 9 ff0000
0 31 9 ff0000
0 30 9 ff0000
0 29 9 ff0000
0 28 9 ff0000
0 27 9 ff0000
0 26 9 ff0000
0 25 9 ff0000
0 24 9 ff0000
0 23 9 ff0000
0 22 9 ff0000
0 21 9 ff0000
0 20 9 ff0000
0 19 9 ff0000
0 18 9 ff0000
0 17 9 ff0000
0 16 9 ff0000
0 15 9 ff0000
0 14 9 ff0000
0 13 9 ff0000
0 12 9 ff0000
0 11 9 ff0000
0 10 9 ff0000
0 9 9 ff0000
0 8 9 ff0000
0 7 9 ff0000
0 6 9 ff0000
0 5 9 ff0000
0 4 9 ff0000
0 3 9 ff0000
0 2 9 ff0000
