# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 222222
1 0 0 222222
2 0 0 222222
3 0 0 222222
4 0 0 222222
5 0 0 222222
6 0 0 222222
7 0 0 222222
8 0 0 222222
9 0 0 222222
10 0 0 222222
11 0 0 222222
12 0 0 222222
13 0 0 222222
14 0 0 222222
15 0 0 222222
0 1 0 442222
0 2 0 442222
0 3 0 442222
0 4 0 442222
0 5 0 442222
0 6 0 442222
0 7 0 442222
0 8 0 442222
0 9 0 442222
0 10 0 442222
0 11 0 442222
0 12 0 442222
0 13 0 442222
0 14 0 442222
0 15 0 442222
0 0 1 222222
1 0 1 222222
2 0 1 222222
3 0 1 222222
4 0 1 222222
5 0 1 222222
6 0 1 222222
7 0 1 222222
8 0 1 222222
9 0 1 222222
10 0 1 222222
11 0 1 222222
12 0 1 222222
13 0 1 222222
14 0 1 222222
15 0 1 222222
0 1 1 442222
0 2 1 442222
0 3 1 442222
0 4 1 442222
0 5 1 442222
0 6 1 442222
0 7 1 442222
0 8 1 442222
0 9 1 442222
0 10 1 442222
0 11 1 442222
0 12 1 442222
0 13 1 442222
0 14 1 442222
0 15 1 442222
0 0 2 222222
1 0 2 222222
2 0 2 222222
3 0 2 222222
4 0 2 222222
5 0 2 222222
6 0 2 222222
7 0 2 222222
8 0 2 222222
9 0 2 222222
10 0 2 222222
11 0 2 222222
12 0 2 222222
13 0 2 222222
14 0 2 222222
15 0 2 222222
0 1 2 442222
0 2 2 442222
0 3 2 442222
0 4 2 442222
0 5 2 442222
0 6 2 442222
0 7 2 442222
0 8 2 442222
0 9 2 442222
0 10 2 442222
0 11 2 442222
0 12 2 442222
0 13 2 442222
0 14 2 442222
0 15 2 442222
0 0 3 222222
1 0 3 222222
2 0 3 222222
3 0 3 222222
6 0 3 222222
7 0 3 222222
8 0 3 222222
9 0 3 222222
10 0 3 222222
11 0 3 222222
12 0 3 222222
13 0 3 222222
14 0 3 222222
15 0 3 222222
0 1 3 442222
0 2 3 442222
0 3 3 442222
0 4 3 442222
