# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
56 28 0 AABB22
56 28 1 AABB22
56 28 2 AABB22
56 28 3 AABB22
56 28 4 AABB22
56 28 5 AABB22
56 28 6 AABB22
56 28 7 AABB22
56 28 8 AABB22
56 28 9 AABB22
57 28 0 AABB22
57 28 1 AABB22
57 28 2 AABB22
57 28 3 AABB22
57 28 4 AABB22
57 28 5 AABB22
57 28 6 AABB22
57 28 7 AABB22
57 28 8 AABB22
57 28 9 AABB22
58 28 0 AABB22
58 28 1 AABB22
58 28 2 AABB22
58 28 3 AABB22
58 28 4 AABB22
58 28 5 AABB22
58 28 6 AABB22
58 28 7 AABB22
58 28 8 AABB22
58 28 9 AABB22
59 28 0 AABB22
59 28 1 AABB22
59 28 2 AABB22
59 28 3 AABB22
59 28 4 AABB22
59 28 5 AABB22
59 28 6 AABB22
59 28 7 AABB22
59 28 8 AABB22
59 28 9 AABB22
60 28 0 AABB22
60 28 1 AABB22
60 28 2 AABB22
60 28 3 AABB22
60 28 4 AABB22
60 28 5 AABB22
60 28 6 AABB22
60 28 7 AABB22
60 28 8 AABB22
60 28 9 AABB22
61 28 0 AABB22
61 28 1 AABB22
61 28 2 AABB22
61 28 3 AABB22
61 28 4 AABB22
61 28 5 AABB22
61 28 6 AABB22
61 28 7 AABB22
61 28 8 AABB22
61 28 9 AABB22
62 28 0 AABB22
62 28 1 AABB22
62 28 2 AABB22
62 28 3 AABB22
62 28 4 AABB22
62 28 5 AABB22
62 28 6 AABB22
62 28 7 AABB22
62 28 8 AABB22
62 28 9 AABB22
63 28 0 AABB22
63 28 1 AABB22
63 28 2 AABB22
63 28 3 AABB22
63 28 4 AABB22
63 28 5 AABB22
63 28 6 AABB22
63 28 7 AABB22
63 28 8 AABB22
63 28 9 AABB22
64 28 0 AABB22
64 28 1 AABB22
64 28 2 AABB22
64 28 3 AABB22
64 28 4 AABB22
64 28 5 AABB22
64 28 6 AABB22
64 28 7 AABB22
64 28 8 AABB22
64 28 9 AABB22
65 28 0 AABB22
65 28 1 AABB22
65 28 2 AABB22
65 28 3 AABB22
65 28 4 AABB22
65 28 5 AABB22
65 28 6 AABB22
65 28 7 AABB22
65 28 8 AABB22
65 28 9 AABB22
66 28 0 AABB22
66 28 1 AABB22
66 28 2 AABB22
66 28 3 AABB22
66 28 4 AABB22
66 28 5 AABB22
66 28 6 AABB22
66 28 7 AABB22
66 28 8 AABB22
66 28 9 AABB22
67 28 0 AABB22
67 28 1 AABB22
67 28 2 AABB22
67 28 3 AABB22
67 28 4 AABB22
67 28 5 AABB22
67 28 6 AABB22
67 28 7 AABB22
67 28 8 AABB22
67 28 9 AABB22
68 28 0 AABB22
68 28 1 AABB22
68 28 2 AABB22
68 28 3 AABB22
68 28 4 AABB22
68 28 5 AABB22
68 28 6 AABB22
68 28 7 AABB22
68 28 8 AABB22
68 28 9 AABB22
69 28 0 AABB22
69 28 1 AABB22
69 28 2 AABB22
69 28 3 AABB22
69 28 4 AABB22
69 28 5 AABB22
69 28 6 AABB22
69 28 7 AABB22
69 28 8 AABB22
69 28 9 AABB22
70 28 0 AABB22
70 28 1 AABB22
70 28 2 AABB22
70 28 3 AABB22
70 28 4 AABB22
70 28 5 AABB22
70 28 6 AABB22
70 28 7 AABB22
70 28 8 AABB22
70 28 9 AABB22
74 28 0 AABB22
74 28 1 AABB22
74 28 2 AABB22
74 28 3 AABB22
74 28 4 AABB22
74 28 5 AABB22
74 28 6 AABB22
74 28 7 AABB22
74 28 8 AABB22
74 28 9 AABB22
75 28 0 AABB22
75 28 1 AABB22
75 28 2 AABB22
75 28 3 AABB22
75 28 4 AABB22
75 28 5 AABB22
75 28 6 AABB22
75 28 7 AABB22
75 28 8 AABB22
75 28 9 AABB22
76 28 0 AABB22
76 28 1 AABB22
76 28 2 AABB22
76 28 3 AABB22
76 28 4 AABB22
76 28 5 AABB22
76 28 6 AABB22
76 28 7 AABB22
76 28 8 AABB22
76 28 9 AABB22
77 28 0 AABB22
77 28 1 AABB22
77 28 2 AABB22
77 28 3 AABB22
77 28 4 AABB22
77 28 5 AABB22
77 28 6 AABB22
77 28 7 AABB22
77 28 8 AABB22
77 28 9 AABB22
78 28 0 AABB22
78 28 1 AABB22
78 28 2 AABB22
78 28 3 AABB22
78 28 4 AABB22
78 28 5 AABB22
78 28 6 AABB22
78 28 7 AABB22
78 28 8 AABB22
78 28 9 AABB22
56 28 7 AABB22
56 28 8 AABB22
56 28 9 AABB22
57 28 7 AABB22
57 28 8 AABB22
57 28 9 AABB22
58 28 7 AABB22
58 28 8 AABB22
58 28 9 AABB22
59 28 7 AABB22
59 28 8 AABB22
59 28 9 AABB22
60 28 7 AABB22
60 28 8 AABB22
60 28 9 AABB22
61 28 7 AABB22
61 28 8 AABB22
61 28 9 AABB22
62 28 7 AABB22
62 28 8 AABB22
62 28 9 AABB22
63 28 7 AABB22
63 28 8 AABB22
63 28 9 AABB22
64 28 7 AABB22
64 28 8 AABB22
64 28 9 AABB22
65 28 7 AABB22
65 28 8 AABB22
65 28 9 AABB22
66 28 7 AABB22
66 28 8 AABB22
66 28 9 AABB22
67 28 7 AABB22
67 28 8 AABB22
67 28 9 AABB22
68 28 7 AABB22
68 28 8 AABB22
68 28 9 AABB22
69 28 7 AABB22
69 28 8 AABB22
69 28 9 AABB22
70 28 7 AABB22
70 28 8 AABB22
70 28 9 AABB22
71 28 7 AABB22
71 28 8 AABB22
71 28 9 AABB22
72 28 7 AABB22
72 28 8 AABB22
72 28 9 AABB22
73 28 7 AABB22
73 28 8 AABB22
73 28 9 AABB22
74 28 7 AABB22
74 28 8 AABB22
74 28 9 AABB22
75 28 7 AABB22
75 28 8 AABB22
75 28 9 AABB22
76 28 7 AABB22
76 28 8 AABB22
76 28 9 AABB22
77 28 7 AABB22
77 28 8 AABB22
77 28 9 AABB22
78 28 7 AABB22
78 28 8 AABB22
78 28 9 AABB22
