# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 222222
0 0 1 222222
0 0 2 222222
1 0 0 222222
1 0 1 222222
1 0 2 222222
2 0 0 222222
2 0 1 222222
2 0 2 222222
3 0 0 222222
3 0 1 222222
3 0 2 222222
4 0 0 222222
4 0 1 222222
4 0 2 222222
5 0 0 222222
5 0 1 222222
5 0 2 222222
6 0 0 222222
6 0 1 222222
6 0 2 222222
7 0 0 222222
7 0 1 222222
7 0 2 222222
8 0 0 222222
8 0 1 222222
8 0 2 222222
9 0 0 222222
9 0 1 222222
9 0 2 222222
10 0 0 222222
10 0 1 222222
10 0 2 222222
11 0 0 222222
11 0 1 222222
11 0 2 222222
12 0 0 222222
12 0 1 222222
12 0 2 222222
13 0 0 222222
13 0 1 222222
13 0 2 222222
14 0 0 222222
14 0 1 222222
14 0 2 222222
15 0 0 222222
15 0 1 222222
15 0 2 222222
16 0 0 222222
16 0 1 222222
16 0 2 222222
17 0 0 222222
17 0 1 222222
17 0 2 222222
18 0 0 222222
18 0 1 222222
18 0 2 222222
19 0 0 222222
19 0 1 222222
19 0 2 222222
20 0 0 222222
20 0 1 222222
20 0 2 222222
21 0 0 222222
21 0 1 222222
21 0 2 222222
22 0 0 222222
22 0 1 222222
22 0 2 222222
23 0 0 222222
23 0 1 222222
23 0 2 222222
24 0 0 222222
24 0 1 222222
24 0 2 222222
25 0 0 222222
25 0 1 222222
25 0 2 222222
26 0 0 222222
26 0 1 222222
26 0 2 222222
27 0 0 222222
27 0 1 222222
27 0 2 222222
28 0 0 222222
28 0 1 222222
28 0 2 222222
29 0 0 222222
29 0 1 222222
29 0 2 222222
30 0 0 222222
30 0 1 222222
30 0 2 222222
31 0 0 222222
31 0 1 222222
31 0 2 222222
32 0 0 222222
32 0 1 222222
32 0 2 222222
33 0 0 222222
33 0 1 222222
33 0 2 222222
34 0 0 222222
34 0 1 222222
34 0 2 222222
35 0 0 222222
35 0 1 222222
35 0 2 222222
36 0 0 222222
36 0 1 222222
36 0 2 222222
37 0 0 222222
37 0 1 222222
37 0 2 222222
38 0 0 222222
38 0 1 222222
38 0 2 222222
39 0 0 222222
39 0 1 222222
39 0 2 222222
40 0 0 222222
40 0 1 222222
40 0 2 222222
41 0 0 222222
41 0 1 222222
41 0 2 222222
42 0 0 222222
42 0 1 222222
42 0 2 222222
43 0 0 222222
43 0 1 222222
43 0 2 222222
44 0 0 222222
44 0 1 222222
44 0 2 222222
45 0 0 222222
45 0 1 222222
45 0 2 222222
46 0 0 222222
46 0 1 222222
46 0 2 222222
47 0 0 222222
47 0 1 222222
47 0 2 222222
48 0 0 222222
48 0 1 222222
48 0 2 222222
49 0 0 222222
49 0 1 222222
49 0 2 222222
50 0 0 222222
50 0 1 222222
50 0 2 222222
51 0 0 222222
51 0 1 222222
51 0 2 222222
52 0 0 222222
52 0 1 222222
52 0 2 222222
53 0 0 222222
53 0 1 222222
53 0 2 222222
54 0 0 222222
54 0 1 222222
54 0 2 222222
55 0 0 222222
55 0 1 222222
55 0 2 222222
56 0 0 222222
56 0 1 222222
56 0 2 222222
57 0 0 222222
57 0 1 222222
57 0 2 222222
58 0 0 222222
58 0 1 222222
58 0 2 222222
59 0 0 222222
59 0 1 222222
59 0 2 222222
60 0 0 222222
60 0 1 222222
60 0 2 222222
61 0 0 222222
61 0 1 222222
61 0 2 222222
62 0 0 222222
62 0 1 222222
62 0 2 222222
63 0 0 222222
63 0 1 222222
63 0 2 222222
64 0 0 222222
64 0 1 222222
64 0 2 222222
65 0 0 222222
65 0 1 222222
65 0 2 222222
66 0 0 222222
66 0 1 222222
66 0 2 222222
67 0 0 222222
67 0 1 222222
67 0 2 222222
68 0 0 222222
68 0 1 222222
68 0 2 222222
69 0 0 222222
69 0 1 222222
69 0 2 222222
70 0 0 222222
70 0 1 222222
70 0 2 222222
71 0 0 222222
71 0 1 222222
71 0 2 222222
72 0 0 222222
72 0 1 222222
72 0 2 222222
73 0 0 222222
73 0 1 222222
73 0 2 222222
74 0 0 222222
74 0 1 222222
74 0 2 222222
75 0 0 222222
75 0 1 222222
75 0 2 222222
76 0 0 222222
76 0 1 222222
76 0 2 222222
77 0 0 222222
77 0 1 222222
77 0 2 222222
78 0 0 222222
78 0 1 222222
78 0 2 222222
79 0 0 222222
79 0 1 222222
79 0 2 222222
0 0 3 222222
0 0 4 222222
0 0 5 222222
0 0 6 222222
0 0 7 222222
1 0 3 222222
1 0 4 222222
1 0 5 222222
1 0 6 222222
1 0 7 222222
2 0 3 222222
2 0 4 222222
2 0 5 222222
2 0 6 222222
2 0 7 222222
3 0 3 222222
3 0 4 222222
3 0 5 222222
3 0 6 222222
3 0 7 222222
6 0 3 222222
6 0 4 222222
6 0 5 222222
6 0 6 222222
6 0 7 222222
7 0 3 222222
7 0 4 222222
7 0 5 222222
7 0 6 222222
7 0 7 222222
8 0 3 222222
8 0 4 222222
8 0 5 222222
8 0 6 222222
8 0 7 222222
9 0 3 222222
9 0 4 222222
9 0 5 222222
9 0 6 222222
9 0 7 222222
10 0 3 222222
10 0 4 222222
10 0 5 222222
10 0 6 222222
10 0 7 222222
11 0 3 222222
11 0 4 222222
11 0 5 222222
11 0 6 222222
11 0 7 222222
12 0 3 222222
12 0 4 222222
12 0 5 222222
12 0 6 222222
12 0 7 222222
13 0 3 222222
13 0 4 222222
13 0 5 222222
13 0 6 222222
13 0 7 222222
14 0 3 222222
14 0 4 222222
14 0 5 222222
14 0 6 222222
14 0 7 222222
15 0 3 222222
15 0 4 222222
15 0 5 222222
15 0 6 222222
15 0 7 222222
16 0 3 222222
16 0 4 222222
16 0 5 222222
16 0 6 222222
16 0 7 222222
17 0 3 222222
17 0 4 222222
17 0 5 222222
17 0 6 222222
17 0 7 222222
18 0 3 222222
18 0 4 222222
18 0 5 222222
18 0 6 222222
18 0 7 222222
19 0 3 222222
19 0 4 222222
19 0 5 222222
19 0 6 222222
19 0 7 222222
20 0 3 222222
20 0 4 222222
20 0 5 222222
20 0 6 222222
20 0 7 222222
21 0 3 222222
21 0 4 222222
21 0 5 222222
21 0 6 222222
21 0 7 222222
24 0 3 222222
24 0 4 222222
24 0 5 222222
24 0 6 222222
24 0 7 222222
25 0 3 222222
25 0 4 222222
25 0 5 222222
25 0 6 222222
25 0 7 222222
26 0 3 222222
26 0 4 222222
26 0 5 222222
26 0 6 222222
26 0 7 222222
27 0 3 222222
27 0 4 222222
27 0 5 222222
27 0 6 222222
27 0 7 222222
28 0 3 222222
28 0 4 222222
28 0 5 222222
28 0 6 222222
28 0 7 222222
29 0 3 222222
29 0 4 222222
29 0 5 222222
29 0 6 222222
29 0 7 222222
30 0 3 222222
30 0 4 222222
30 0 5 222222
30 0 6 222222
30 0 7 222222
31 0 3 222222
31 0 4 222222
31 0 5 222222
31 0 6 222222
31 0 7 222222
32 0 3 222222
32 0 4 222222
32 0 5 222222
32 0 6 222222
32 0 7 222222
26 0 3 222222
26 0 4 222222
26 0 5 222222
26 0 6 222222
26 0 7 222222
27 0 3 222222
27 0 4 222222
27 0 5 222222
27 0 6 222222
27 0 7 222222
28 0 3 222222
28 0 4 222222
28 0 5 222222
28 0 6 222222
28 0 7 222222
29 0 3 222222
29 0 4 222222
29 0 5 222222
29 0 6 222222
29 0 7 222222
30 0 3 222222
30 0 4 222222
30 0 5 222222
30 0 6 222222
30 0 7 222222
31 0 3 222222
31 0 4 222222
31 0 5 222222
31 0 6 222222
31 0 7 222222
32 0 3 222222
32 0 4 222222
32 0 5 222222
32 0 6 222222
32 0 7 222222
33 0 3 222222
33 0 4 222222
33 0 5 222222
33 0 6 222222
33 0 7 222222
34 0 3 222222
34 0 4 222222
34 0 5 222222
34 0 6 222222
34 0 7 222222
37 0 3 222222
37 0 4 222222
37 0 5 222222
37 0 6 222222
37 0 7 222222
38 0 3 222222
38 0 4 222222
38 0 5 222222
38 0 6 222222
38 0 7 222222
39 0 3 222222
39 0 4 222222
39 0 5 222222
39 0 6 222222
39 0 7 222222
40 0 3 222222
40 0 4 222222
40 0 5 222222
40 0 6 222222
40 0 7 222222
41 0 3 222222
41 0 4 222222
41 0 5 222222
41 0 6 222222
41 0 7 222222
42 0 3 222222
42 0 4 222222
42 0 5 222222
42 0 6 222222
42 0 7 222222
43 0 3 222222
43 0 4 222222
43 0 5 222222
43 0 6 222222
43 0 7 222222
44 0 3 222222
44 0 4 222222
44 0 5 222222
44 0 6 222222
44 0 7 222222
45 0 3 222222
45 0 4 222222
45 0 5 222222
45 0 6 222222
45 0 7 222222
46 0 3 222222
46 0 4 222222
46 0 5 222222
46 0 6 222222
46 0 7 222222
47 0 3 222222
47 0 4 222222
47 0 5 222222
47 0 6 222222
47 0 7 222222
48 0 3 222222
48 0 4 222222
48 0 5 222222
48 0 6 222222
48 0 7 222222
49 0 3 222222
49 0 4 222222
49 0 5 222222
49 0 6 222222
49 0 7 222222
50 0 3 222222
50 0 4 222222
50 0 5 222222
50 0 6 222222
50 0 7 222222
51 0 3 222222
51 0 4 222222
51 0 5 222222
51 0 6 222222
51 0 7 222222
52 0 3 222222
52 0 4 222222
52 0 5 222222
52 0 6 222222
52 0 7 222222
53 0 3 222222
53 0 4 222222
53 0 5 222222
53 0 6 222222
53 0 7 222222
54 0 3 222222
54 0 4 222222
54 0 5 222222
54 0 6 222222
54 0 7 222222
57 0 3 222222
57 0 4 222222
57 0 5 222222
57 0 6 222222
57 0 7 222222
58 0 3 222222
58 0 4 222222
58 0 5 222222
58 0 6 222222
58 0 7 222222
59 0 3 222222
59 0 4 222222
59 0 5 222222
59 0 6 222222
59 0 7 222222
60 0 3 222222
60 0 4 222222
60 0 5 222222
60 0 6 222222
60 0 7 222222
61 0 3 222222
61 0 4 222222
61 0 5 222222
61 0 6 222222
61 0 7 222222
62 0 3 222222
62 0 4 222222
62 0 5 222222
62 0 6 222222
62 0 7 222222
63 0 3 222222
63 0 4 222222
63 0 5 222222
63 0 6 222222
63 0 7 222222
66 0 3 222222
66 0 4 222222
66 0 5 222222
66 0 6 222222
66 0 7 222222
67 0 3 222222
67 0 4 222222
67 0 5 222222
67 0 6 222222
67 0 7 222222
68 0 3 222222
68 0 4 222222
68 0 5 222222
68 0 6 222222
68 0 7 222222
69 0 3 222222
69 0 4 222222
69 0 5 222222
69 0 6 222222
69 0 7 222222
70 0 3 222222
70 0 4 222222
70 0 5 222222
70 0 6 222222
70 0 7 222222
71 0 3 222222
71 0 4 222222
71 0 5 222222
71 0 6 222222
71 0 7 222222
72 0 3 222222
72 0 4 222222
72 0 5 222222
72 0 6 222222
72 0 7 222222
73 0 3 222222
73 0 4 222222
73 0 5 222222
73 0 6 222222
73 0 7 222222
76 0 3 222222
76 0 4 222222
76 0 5 222222
76 0 6 222222
76 0 7 222222
77 0 3 222222
77 0 4 222222
77 0 5 222222
77 0 6 222222
77 0 7 222222
78 0 3 222222
78 0 4 222222
78 0 5 222222
78 0 6 222222
78 0 7 222222
79 0 3 222222
79 0 4 222222
79 0 5 222222
79 0 6 222222
79 0 7 222222
0 0 8 222222
0 0 9 222222
1 0 8 222222
1 0 9 222222
2 0 8 222222
2 0 9 222222
3 0 8 222222
3 0 9 222222
4 0 8 222222
4 0 9 222222
5 0 8 222222
5 0 9 222222
6 0 8 222222
6 0 9 222222
7 0 8 222222
7 0 9 222222
8 0 8 222222
8 0 9 222222
9 0 8 222222
9 0 9 222222
10 0 8 222222
10 0 9 222222
11 0 8 222222
11 0 9 222222
12 0 8 222222
12 0 9 222222
13 0 8 222222
13 0 9 222222
14 0 8 222222
14 0 9 222222
15 0 8 222222
15 0 9 222222
16 0 8 222222
