# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 00bbff
0 1 0 00bbff
0 2 0 00bbff
0 3 0 00bbff
0 4 0 00bbff
0 5 0 00bbff
0 6 0 00bbff
0 7 0 00bbff
0 8 0 00bbff
0 9 0 00bbff
0 10 0 00bbff
0 11 0 00bbff
0 12 0 00bbff
0 13 0 00bbff
0 14 0 00bbff
0 15 0 00bbff
0 16 0 00bbff
0 17 0 00bbff
0 18 0 00bbff
0 19 0 00bbff
0 20 0 00bbff
0 21 0 00bbff
0 22 0 00bbff
0 23 0 00bbff
0 24 0 00bbff
0 25 0 00bbff
0 26 0 00bbff
0 27 0 00bbff
0 28 0 00bbff
0 29 0 00bbff
0 30 0 00bbff
0 31 0 00bbff
0 32 0 00bbff
0 33 0 00bbff
0 34 0 00bbff
0 35 0 00bbff
0 36 0 00bbff
0 37 0 00bbff
0 38 0 00bbff
0 39 0 00bbff
0 40 0 00bbff
0 41 0 00bbff
0 42 0 00bbff
0 43 0 00bbff
0 44 0 00bbff
0 45 0 00bbff
0 46 0 00bbff
0 47 0 00bbff
0 48 0 00bbff
0 49 0 00bbff
0 50 0 00bbff
0 51 0 00bbff
0 52 0 00bbff
0 53 0 00bbff
0 54 0 00bbff
0 55 0 00bbff
0 56 0 00bbff
0 57 0 00bbff
0 58 0 00bbff
0 59 0 00bbff
0 60 0 00bbff
0 61 0 00bbff
0 62 0 00bbff
0 63 0 00bbff
0 64 0 00bbff
0 65 0 00bbff
0 66 0 00bbff
0 67 0 00bbff
0 68 0 00bbff
0 69 0 00bbff
0 70 0 00bbff
0 71 0 00bbff
0 72 0 00bbff
0 73 0 00bbff
0 74 0 00bbff
0 75 0 00bbff
0 76 0 00bbff
0 77 0 00bbff
0 78 0 00bbff
0 79 0 00bbff
0 80 0 00bbff
0 81 0 00bbff
0 82 0 00bbff
0 83 0 00bbff
0 84 0 00bbff
0 85 0 00bbff
0 86 0 00bbff
0 87 0 00bbff
0 88 0 00bbff
0 89 0 00bbff
1 0 0 00bbff
1 1 0 00bbff
1 2 0 00bbff
1 3 0 00bbff
1 4 0 00bbff
1 5 0 00bbff
1 6 0 00bbff
1 7 0 00bbff
1 8 0 00bbff
1 9 0 00bbff
1 10 0 00bbff
1 11 0 00bbff
1 12 0 00bbff
1 13 0 00bbff
1 14 0 00bbff
1 15 0 00bbff
1 16 0 00bbff
1 17 0 00bbff
1 18 0 00bbff
1 19 0 00bbff
1 20 0 00bbff
1 21 0 00bbff
1 22 0 00bbff
1 23 0 00bbff
1 24 0 00bbff
1 25 0 00bbff
1 26 0 00bbff
1 27 0 00bbff
1 28 0 00bbff
1 29 0 00bbff
