# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 10 0000ff
0 1 10 0000ff
0 2 10 0000ff
0 3 10 0000ff
0 4 10 0000ff
0 5 10 0000ff
0 6 10 0000ff
0 7 10 0000ff
0 8 10 0000ff
0 9 10 0000ff
0 10 10 0000ff
0 11 10 0000ff
0 12 10 0000ff
0 13 10 0000ff
0 14 10 0000ff
0 15 10 0000ff
0 16 10 0000ff
0 17 10 0000ff
0 18 10 0000ff
0 19 10 0000ff
0 20 10 0000ff
0 21 10 0000ff
0 22 10 0000ff
0 23 10 0000ff
0 24 10 0000ff
0 25 10 0000ff
0 26 10 0000ff
0 27 10 0000ff
0 28 10 0000ff
0 29 10 0000ff
0 30 10 0000ff
0 31 10 0000ff
0 32 10 0000ff
0 33 10 0000ff
0 34 10 0000ff
0 35 10 0000ff
0 36 10 0000ff
0 37 10 0000ff
0 38 10 0000ff
0 39 10 0000ff
0 40 10 0000ff
0 41 10 0000ff
0 42 10 0000ff
0 43 10 0000ff
0 44 10 0000ff
0 45 10 0000ff
0 46 10 0000ff
0 47 10 0000ff
1 0 10 0000ff
1 1 10 0000ff
1 2 10 0000ff
1 3 10 0000ff
1 4 10 0000ff
1 5 10 0000ff
1 6 10 0000ff
1 7 10 0000ff
1 8 10 0000ff
1 9 10 0000ff
1 10 10 0000ff
1 11 10 0000ff
1 12 10 0000ff
1 13 10 0000ff
1 14 10 0000ff
1 15 10 0000ff
1 16 10 0000ff
1 17 10 0000ff
1 18 10 0000ff
1 19 10 0000ff
1 20 10 0000ff
1 21 10 0000ff
1 22 10 0000ff
1 23 10 0000ff
1 24 10 0000ff
1 25 10 0000ff
1 26 10 0000ff
1 27 10 0000ff
1 28 10 0000ff
1 29 10 0000ff
1 30 10 0000ff
1 31 10 0000ff
1 32 10 0000ff
1 33 10 0000ff
1 34 10 0000ff
1 35 10 0000ff
1 36 10 0000ff
1 37 10 0000ff
1 38 10 0000ff
1 39 10 0000ff
1 40 10 0000ff
1 41 10 0000ff
1 42 10 0000ff
1 43 10 0000ff
1 44 10 0000ff
1 45 10 0000ff
1 46 10 0000ff
1 47 10 0000ff
2 0 10 0000ff
2 1 10 0000ff
2 2 10 0000ff
2 3 10 0000ff
2 4 10 0000ff
2 5 10 0000ff
2 6 10 0000ff
2 7 10 0000ff
2 8 10 0000ff
2 9 10 0000ff
2 10 10 0000ff
2 11 10 0000ff
2 12 10 0000ff
2 13 10 0000ff
2 14 10 0000ff
2 15 10 0000ff
2 16 10 0000ff
2 17 10 0000ff
2 18 10 0000ff
2 19 10 0000ff
2 20 10 0000ff
2 21 10 0000ff
2 22 10 0000ff
2 23 10 0000ff
2 24 10 0000ff
2 25 10 0000ff
2 26 10 0000ff
2 27 10 0000ff
2 28 10 0000ff
2 29 10 0000ff
2 30 10 0000ff
2 31 10 0000ff
2 32 10 0000ff
2 33 10 0000ff
2 34 10 0000ff
2 35 10 0000ff
2 36 10 0000ff
2 37 10 0000ff
2 38 10 0000ff
2 39 10 0000ff
2 40 10 0000ff
2 41 10 0000ff
2 42 10 0000ff
2 43 10 0000ff
2 44 10 0000ff
2 45 10 0000ff
2 46 10 0000ff
2 47 10 0000ff
3 0 10 0000ff
3 1 10 0000ff
3 2 10 0000ff
3 3 10 0000ff
3 4 10 0000ff
3 5 10 0000ff
3 6 10 0000ff
3 7 10 0000ff
3 8 10 0000ff
3 9 10 0000ff
3 10 10 0000ff
3 11 10 0000ff
3 12 10 0000ff
3 13 10 0000ff
3 14 10 0000ff
3 15 10 0000ff
3 16 10 0000ff
3 17 10 0000ff
3 18 10 0000ff
3 19 10 0000ff
3 20 10 0000ff
3 21 10 0000ff
3 22 10 0000ff
3 23 10 0000ff
3 24 10 0000ff
3 25 10 0000ff
3 26 10 0000ff
3 27 10 0000ff
3 28 10 0000ff
3 29 10 0000ff
3 30 10 0000ff
3 31 10 0000ff
3 32 10 0000ff
3 33 10 0000ff
3 34 10 0000ff
3 35 10 0000ff
3 36 10 0000ff
3 37 10 0000ff
3 38 10 0000ff
3 39 10 0000ff
3 40 10 0000ff
3 41 10 0000ff
3 42 10 0000ff
3 43 10 0000ff
3 44 10 0000ff
3 45 10 0000ff
3 46 10 0000ff
3 47 10 0000ff
4 0 10 0000ff
4 1 10 0000ff
4 2 10 0000ff
4 3 10 0000ff
4 4 10 0000ff
4 5 10 0000ff
4 6 10 0000ff
4 7 10 0000ff
4 8 10 0000ff
4 9 10 0000ff
4 10 10 0000ff
4 11 10 0000ff
4 12 10 0000ff
4 13 10 0000ff
4 14 10 0000ff
4 15 10 0000ff
4 16 10 0000ff
4 17 10 0000ff
4 18 10 0000ff
4 19 10 0000ff
4 20 10 0000ff
4 21 10 0000ff
4 22 10 0000ff
4 23 10 0000ff
4 24 10 0000ff
4 25 10 0000ff
4 26 10 0000ff
4 27 10 0000ff
4 28 10 0000ff
4 29 10 0000ff
4 30 10 0000ff
4 31 10 0000ff
4 32 10 0000ff
4 33 10 0000ff
4 34 10 0000ff
4 35 10 0000ff
4 36 10 0000ff
4 37 10 0000ff
4 38 10 0000ff
4 39 10 0000ff
4 40 10 0000ff
4 41 10 0000ff
4 42 10 0000ff
4 43 10 0000ff
4 44 10 0000ff
4 45 10 0000ff
4 46 10 0000ff
4 47 10 0000ff
5 0 10 0000ff
5 1 10 0000ff
5 2 10 0000ff
5 3 10 0000ff
5 4 10 0000ff
5 5 10 0000ff
5 6 10 0000ff
5 7 10 0000ff
5 8 10 0000ff
5 9 10 0000ff
5 10 10 0000ff
5 11 10 0000ff
5 12 10 0000ff
5 13 10 0000ff
5 14 10 0000ff
5 15 10 0000ff
5 16 10 0000ff
5 17 10 0000ff
5 18 10 0000ff
5 19 10 0000ff
5 20 10 0000ff
5 21 10 0000ff
5 22 10 0000ff
5 23 10 0000ff
5 24 10 0000ff
5 25 10 0000ff
5 26 10 0000ff
5 27 10 0000ff
5 28 10 0000ff
5 29 10 0000ff
5 30 10 0000ff
5 31 10 0000ff
5 32 10 0000ff
5 33 10 0000ff
5 34 10 0000ff
5 35 10 0000ff
5 36 10 0000ff
5 37 10 0000ff
5 38 10 0000ff
5 39 10 0000ff
5 40 10 0000ff
5 41 10 0000ff
5 42 10 0000ff
5 43 10 0000ff
5 44 10 0000ff
5 45 10 0000ff
5 46 10 0000ff
5 47 10 0000ff
6 0 10 0000ff
6 1 10 0000ff
6 2 10 0000ff
6 3 10 0000ff
6 4 10 0000ff
6 5 10 0000ff
6 6 10 0000ff
6 7 10 0000ff
6 8 10 0000ff
6 9 10 0000ff
6 10 10 0000ff
6 11 10 0000ff
6 12 10 0000ff
6 13 10 0000ff
6 14 10 0000ff
6 15 10 0000ff
6 16 10 0000ff
6 17 10 0000ff
6 18 10 0000ff
6 19 10 0000ff
6 20 10 0000ff
6 21 10 0000ff
6 22 10 0000ff
6 23 10 0000ff
6 24 10 0000ff
6 25 10 0000ff
6 26 10 0000ff
6 27 10 0000ff
6 28 10 0000ff
6 29 10 0000ff
6 30 10 0000ff
6 31 10 0000ff
6 32 10 0000ff
6 33 10 0000ff
6 34 10 0000ff
6 35 10 0000ff
6 36 10 0000ff
6 37 10 0000ff
6 38 10 0000ff
6 39 10 0000ff
6 40 10 0000ff
6 41 10 0000ff
6 42 10 0000ff
6 43 10 0000ff
6 44 10 0000ff
6 45 10 0000ff
6 46 10 0000ff
6 47 10 0000ff
7 0 10 0000ff
7 1 10 0000ff
7 2 10 0000ff
7 3 10 0000ff
7 4 10 0000ff
7 5 10 0000ff
7 6 10 0000ff
7 7 10 0000ff
7 8 10 0000ff
7 9 10 0000ff
7 10 10 0000ff
7 11 10 0000ff
7 12 10 0000ff
7 13 10 0000ff
7 14 10 0000ff
7 15 10 0000ff
7 16 10 0000ff
7 17 10 0000ff
7 18 10 0000ff
7 19 10 0000ff
7 20 10 0000ff
7 21 10 0000ff
7 22 10 0000ff
7 23 10 0000ff
7 24 10 0000ff
7 25 10 0000ff
7 26 10 0000ff
7 27 10 0000ff
7 28 10 0000ff
7 29 10 0000ff
7 30 10 0000ff
7 31 10 0000ff
7 32 10 0000ff
7 33 10 0000ff
7 34 10 0000ff
7 35 10 0000ff
7 36 10 0000ff
7 37 10 0000ff
7 38 10 0000ff
7 39 10 0000ff
7 40 10 0000ff
7 41 10 0000ff
7 42 10 0000ff
7 43 10 0000ff
7 44 10 0000ff
7 45 10 0000ff
7 46 10 0000ff
7 47 10 0000ff
8 0 10 0000ff
8 1 10 0000ff
8 2 10 0000ff
8 3 10 0000ff
8 4 10 0000ff
8 5 10 0000ff
8 6 10 0000ff
8 7 10 0000ff
8 8 10 0000ff
8 9 10 0000ff
8 10 10 0000ff
8 11 10 0000ff
8 12 10 0000ff
8 13 10 0000ff
8 14 10 0000ff
8 15 10 0000ff
8 16 10 0000ff
8 17 10 0000ff
8 18 10 0000ff
8 19 10 0000ff
8 20 10 0000ff
8 21 10 0000ff
8 22 10 0000ff
8 23 10 0000ff
8 24 10 0000ff
8 25 10 0000ff
8 26 10 0000ff
8 27 10 0000ff
8 28 10 0000ff
8 29 10 0000ff
8 30 10 0000ff
8 31 10 0000ff
8 32 10 0000ff
8 33 10 0000ff
8 34 10 0000ff
8 35 10 0000ff
8 36 10 0000ff
8 37 10 0000ff
8 38 10 0000ff
8 39 10 0000ff
8 40 10 0000ff
8 41 10 0000ff
8 42 10 0000ff
8 43 10 0000ff
8 44 10 0000ff
8 45 10 0000ff
8 46 10 0000ff
8 47 10 0000ff
9 0 10 0000ff
9 1 10 0000ff
9 2 10 0000ff
9 3 10 0000ff
9 4 10 0000ff
9 5 10 0000ff
9 6 10 0000ff
9 7 10 0000ff
9 8 10 0000ff
9 9 10 0000ff
9 10 10 0000ff
9 11 10 0000ff
9 12 10 0000ff
9 13 10 0000ff
9 14 10 0000ff
9 15 10 0000ff
9 16 10 0000ff
9 17 10 0000ff
9 18 10 0000ff
9 19 10 0000ff
9 20 10 0000ff
9 21 10 0000ff
9 22 10 0000ff
9 23 10 0000ff
9 24 10 0000ff
9 25 10 0000ff
9 26 10 0000ff
9 27 10 0000ff
9 28 10 0000ff
