# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
24 36 1 ff00aa
25 36 1 ff00aa
26 36 1 ff00aa
27 36 1 ff00aa
28 36 1 ff00aa
29 36 1 ff00aa
32 36 1 ff00aa
33 36 1 ff00aa
33 37 1 ff00aa
33 38 1 ff00aa
33 39 1 ff00aa
33 40 1 ff00aa
33 41 1 ff00aa
33 42 1 ff00aa
33 43 1 ff00aa
33 44 1 ff00aa
33 45 1 ff00aa
33 46 1 ff00aa
33 47 1 ff00aa
24 36 2 ff00aa
25 36 2 ff00aa
26 36 2 ff00aa
27 36 2 ff00aa
28 36 2 ff00aa
29 36 2 ff00aa
32 36 2 ff00aa
33 36 2 ff00aa
33 37 2 ff00aa
33 38 2 ff00aa
33 39 2 ff00aa
33 40 2 ff00aa
33 41 2 ff00aa
33 42 2 ff00aa
33 43 2 ff00aa
33 44 2 ff00aa
33 45 2 ff00aa
33 46 2 ff00aa
33 47 2 ff00aa
24 36 3 ff00aa
25 36 3 ff00aa
26 36 3 ff00aa
27 36 3 ff00aa
28 36 3 ff00aa
29 36 3 ff00aa
32 36 3 ff00aa
33 36 3 ff00aa
33 37 3 ff00aa
33 38 3 ff00aa
33 39 3 ff00aa
33 40 3 ff00aa
33 41 3 ff00aa
33 42 3 ff00aa
33 43 3 ff00aa
33 44 3 ff00aa
33 45 3 ff00aa
33 46 3 ff00aa
33 47 3 ff00aa
24 36 4 ff00aa
25 36 4 ff00aa
26 36 4 ff00aa
27 36 4 ff00aa
28 36 4 ff00aa
29 36 4 ff00aa
32 36 4 ff00aa
33 36 4 ff00aa
33 37 4 ff00aa
33 38 4 ff00aa
33 39 4 ff00aa
33 40 4 ff00aa
33 41 4 ff00aa
33 42 4 ff00aa
33 43 4 ff00aa
33 44 4 ff00aa
33 45 4 ff00aa
33 46 4 ff00aa
33 47 4 ff00aa
24 36 5 ff00aa
25 36 5 ff00aa
26 36 5 ff00aa
27 36 5 ff00aa
28 36 5 ff00aa
29 36 5 ff00aa
32 36 5 ff00aa
33 36 5 ff00aa
33 37 5 ff00aa
33 38 5 ff00aa
33 39 5 ff00aa
33 40 5 ff00aa
33 41 5 ff00aa
33 42 5 ff00aa
33 43 5 ff00aa
33 44 5 ff00aa
33 45 5 ff00aa
33 46 5 ff00aa
33 47 5 ff00aa
24 36 6 ff00aa
25 36 6 ff00aa
26 36 6 ff00aa
27 36 6 ff00aa
28 36 6 ff00aa
29 36 6 ff00aa
32 36 6 ff00aa
33 36 6 ff00aa
33 37 6 ff00aa
33 38 6 ff00aa
33 39 6 ff00aa
33 40 6 ff00aa
33 41 6 ff00aa
33 42 6 ff00aa
33 43 6 ff00aa
33 44 6 ff00aa
33 45 6 ff00aa
33 46 6 ff00aa
33 47 6 ff00aa
24 36 7 ff00aa
25 36 7 ff00aa
26 36 7 ff00aa
27 36 7 ff00aa
28 36 7 ff00aa
29 36 7 ff00aa
30 36 7 ff00aa
31 36 7 ff00aa
32 36 7 ff00aa
33 36 7 ff00aa
33 37 7 ff00aa
33 38 7 ff00aa
33 39 7 ff00aa
33 40 7 ff00aa
33 41 7 ff00aa
33 42 7 ff00aa
33 43 7 ff00aa
33 44 7 ff00aa
33 45 7 ff00aa
33 46 7 ff00aa
33 47 7 ff00aa
24 36 8 ff00aa
25 36 8 ff00aa
26 36 8 ff00aa
27 36 8 ff00aa
28 36 8 ff00aa
29 36 8 ff00aa
30 36 8 ff00aa
31 36 8 ff00aa
32 36 8 ff00aa
33 36 8 ff00aa
33 37 8 ff00aa
33 38 8 ff00aa
33 39 8 ff00aa
33 40 8 ff00aa
33 41 8 ff00aa
33 42 8 ff00aa
33 43 8 ff00aa
33 44 8 ff00aa
33 45 8 ff00aa
33 46 8 ff00aa
33 47 8 ff00aa
24 36 9 ff00aa
25 36 9 ff00aa
26 36 9 ff00aa
27 36 9 ff00aa
28 36 9 ff00aa
29 36 9 ff00aa
30 36 9 ff00aa
31 36 9 ff00aa
32 36 9 ff00aa
33 36 9 ff00aa
33 37 9 ff00aa
33 38 9 ff00aa
33 39 9 ff00aa
33 40 9 ff00aa
33 41 9 ff00aa
33 42 9 ff00aa
33 43 9 ff00aa
33 44 9 ff00aa
33 45 9 ff00aa
33 46 9 ff00aa
33 47 9 ff00aa
24 36 10 ff00aa
25 36 10 ff00aa
26 36 10 ff00aa
27 36 10 ff00aa
28 36 10 ff00aa
29 36 10 ff00aa
30 36 10 ff00aa
31 36 10 ff00aa
32 36 10 ff00aa
33 36 10 ff00aa
33 37 10 ff00aa
33 38 10 ff00aa
33 39 10 ff00aa
33 40 10 ff00aa
33 41 10 ff00aa
33 42 10 ff00aa
33 43 10 ff00aa
33 44 10 ff00aa
33 45 10 ff00aa
33 46 10 ff00aa
33 47 10 ff00aa
24 40 1 ff00aa
25 40 1 ff00aa
26 40 1 ff00aa
27 40 1 ff00aa
28 40 1 ff00aa
28 41 1 ff00aa
24 44 1 ff00aa
25 44 1 ff00aa
26 44 1 ff00aa
27 44 1 ff00aa
28 44 1 ff00aa
24 40 2 ff00aa
25 40 2 ff00aa
26 40 2 ff00aa
27 40 2 ff00aa
28 40 2 ff00aa
28 41 2 ff00aa
24 44 2 ff00aa
25 44 2 ff00aa
26 44 2 ff00aa
27 44 2 ff00aa
28 44 2 ff00aa
24 40 3 ff00aa
25 40 3 ff00aa
26 40 3 ff00aa
27 40 3 ff00aa
28 40 3 ff00aa
28 41 3 ff00aa
24 44 3 ff00aa
25 44 3 ff00aa
26 44 3 ff00aa
27 44 3 ff00aa
28 44 3 ff00aa
24 40 4 ff00aa
25 40 4 ff00aa
26 40 4 ff00aa
27 40 4 ff00aa
28 40 4 ff00aa
28 41 4 ff00aa
24 44 4 ff00aa
