# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
34 36 1 ffffaa
35 36 1 ffffaa
36 36 1 ffffaa
37 36 1 ffffaa
38 36 1 ffffaa
34 37 2 ffffaa
35 37 2 ffffaa
36 37 2 ffffaa
37 37 2 ffffaa
38 37 2 ffffaa
34 38 3 ffbbaa
35 38 3 ffbbaa
36 38 3 ffbbaa
37 38 3 ffbbaa
38 38 3 ffbbaa
34 39 4 ffbbaa
35 39 4 ffbbaa
36 39 4 ffbbaa
37 39 4 ffbbaa
38 39 4 ffbbaa
34 40 5 ffbaa
35 40 5 ffbaa
36 40 5 ffbaa
37 40 5 ffbaa
38 40 5 ffbaa
34 41 6 ffbaa
35 41 6 ffbaa
36 41 6 ffbaa
37 41 6 ffbaa
38 41 6 ffbaa
34 42 7 ffbaa
35 42 7 ffbaa
36 42 7 ffbaa
37 42 7 ffbaa
38 42 7 ffbaa
34 43 8 ffbaa
35 43 8 ffbaa
36 43 8 ffbaa
37 43 8 ffbaa
38 43 8 ffbaa
34 44 9 ffbaa
35 44 9 ffbaa
36 44 9 ffbaa
37 44 9 ffbaa
38 44 9 ffbaa
34 45 10 ffbaa
35 45 10 ffbaa
36 45 10 ffbaa
37 45 10 ffbaa
38 45 10 ffbaa
39 45 10 ffbaa
40 45 10 ffbaa
41 45 10 ffbaa
42 45 10 ffbaa
43 45 10 ffbaa
44 45 10 ffbaa
45 45 10 ffbaa
34 46 10 ffbaa
35 46 10 ffbaa
36 46 10 ffbaa
37 46 10 ffbaa
38 46 10 ffbaa
39 46 10 ffbaa
40 46 10 ffbaa
41 46 10 ffbaa
42 46 10 ffbaa
43 46 10 ffbaa
44 46 10 ffbaa
45 46 10 ffbaa
34 47 10 ffbaa
35 47 10 ffbaa
36 47 10 ffbaa
37 47 10 ffbaa
38 47 10 ffbaa
39 47 10 ffbaa
40 47 10 ffbaa
41 47 10 ffbaa
42 47 10 ffbaa
43 47 10 ffbaa
44 47 10 ffbaa
45 47 10 ffbaa
39 37 1 aabbff
39 37 2 aabbff
39 37 3 aabbff
39 37 4 aabbff
39 37 5 aabbff
39 37 6 aabbff
39 37 7 aabbff
39 37 8 aabbff
39 37 9 aabbff
39 37 10 aabbff
39 38 1 aabbff
39 38 2 aabbff
39 38 3 aabbff
39 38 4 aabbff
39 38 5 aabbff
39 38 6 aabbff
39 38 7 aabbff
39 38 8 aabbff
39 38 9 aabbff
39 38 10 aabbff
39 39 1 aabbff
39 39 2 aabbff
39 39 3 aabbff
39 39 4 aabbff
39 39 5 aabbff
39 39 6 aabbff
39 39 7 aabbff
39 39 8 aabbff
39 39 9 aabbff
39 39 10 aabbff
39 40 1 aabbff
39 40 2 aabbff
39 40 3 aabbff
39 40 4 aabbff
39 40 5 aabbff
39 40 6 aabbff
39 40 7 aabbff
39 40 8 aabbff
39 40 9 aabbff
39 40 10 aabbff
39 41 1 aabbff
39 41 2 aabbff
39 41 3 aabbff
39 41 4 aabbff
39 41 5 aabbff
39 41 6 aabbff
39 41 7 aabbff
39 41 8 aabbff
39 41 9 aabbff
39 41 10 aabbff
39 42 1 aabbff
39 42 2 aabbff
39 42 3 aabbff
39 42 4 aabbff
39 42 5 aabbff
39 42 6 aabbff
39 42 7 aabbff
39 42 8 aabbff
39 42 9 aabbff
39 42 10 aabbff
39 43 1 aabbff
39 43 2 aabbff
39 43 3 aabbff
39 43 4 aabbff
39 43 5 aabbff
39 43 6 aabbff
39 43 7 aabbff
39 43 8 aabbff
39 43 9 aabbff
39 43 10 aabbff
39 44 1 aabbff
39 44 2 aabbff
39 44 3 aabbff
39 44 4 aabbff
39 44 5 aabbff
39 44 6 aabbff
39 44 7 aabbff
39 44 8 aabbff
39 44 9 aabbff
39 44 10 aabbff
