# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
23 32 1 ff0000
22 32 1 ff0000
21 32 1 ff0000
17 32 1 ff0000
16 32 1 ff0000
15 32 1 ff0000
14 32 1 ff0000
13 32 1 ff0000
12 32 1 ff0000
11 32 1 ff0000
10 32 1 ff0000
9 32 1 ff0000
8 32 1 ff0000
7 32 1 ff0000
6 32 1 ff0000
5 32 1 ff0000
4 32 1 ff0000
3 32 1 ff0000
2 32 1 ff0000
1 32 1 ff0000
23 32 2 ff0000
22 32 2 ff0000
21 32 2 ff0000
17 32 2 ff0000
16 32 2 ff0000
15 32 2 ff0000
14 32 2 ff0000
13 32 2 ff0000
12 32 2 ff0000
11 32 2 ff0000
10 32 2 ff0000
9 32 2 ff0000
8 32 2 ff0000
7 32 2 ff0000
6 32 2 ff0000
5 32 2 ff0000
4 32 2 ff0000
3 32 2 ff0000
2 32 2 ff0000
1 32 2 ff0000
23 32 3 ff0000
22 32 3 ff0000
21 32 3 ff0000
17 32 3 ff0000
16 32 3 ff0000
15 32 3 ff0000
14 32 3 ff0000
13 32 3 ff0000
12 32 3 ff0000
11 32 3 ff0000
10 32 3 ff0000
9 32 3 ff0000
8 32 3 ff0000
7 32 3 ff0000
6 32 3 ff0000
5 32 3 ff0000
4 32 3 ff0000
3 32 3 ff0000
2 32 3 ff0000
1 32 3 ff0000
23 32 4 ff0000
22 32 4 ff0000
21 32 4 ff0000
17 32 4 ff0000
16 32 4 ff0000
15 32 4 ff0000
14 32 4 ff0000
13 32 4 ff0000
12 32 4 ff0000
11 32 4 ff0000
10 32 4 ff0000
9 32 4 ff0000
8 32 4 ff0000
7 32 4 ff0000
6 32 4 ff0000
5 32 4 ff0000
4 32 4 ff0000
3 32 4 ff0000
2 32 4 ff0000
1 32 4 ff0000
23 32 5 ff0000
22 32 5 ff0000
21 32 5 ff0000
17 32 5 ff0000
16 32 5 ff0000
15 32 5 ff0000
14 32 5 ff0000
13 32 5 ff0000
12 32 5 ff0000
11 32 5 ff0000
10 32 5 ff0000
9 32 5 ff0000
8 32 5 ff0000
7 32 5 ff0000
6 32 5 ff0000
5 32 5 ff0000
4 32 5 ff0000
3 32 5 ff0000
2 32 5 ff0000
1 32 5 ff0000
23 32 6 ff0000
22 32 6 ff0000
21 32 6 ff0000
20 32 6 ff0000
19 32 6 ff0000
18 32 6 ff0000
17 32 6 ff0000
16 32 6 ff0000
15 32 6 ff0000
14 32 6 ff0000
13 32 6 ff0000
12 32 6 ff0000
11 32 6 ff0000
10 32 6 ff0000
9 32 6 ff0000
8 32 6 ff0000
7 32 6 ff0000
6 32 6 ff0000
5 32 6 ff0000
4 32 6 ff0000
3 32 6 ff0000
2 32 6 ff0000
1 32 6 ff0000
23 32 7 ff0000
22 32 7 ff0000
21 32 7 ff0000
20 32 7 ff0000
19 32 7 ff0000
18 32 7 ff0000
17 32 7 ff0000
16 32 7 ff0000
15 32 7 ff0000
14 32 7 ff0000
13 32 7 ff0000
12 32 7 ff0000
11 32 7 ff0000
10 32 7 ff0000
9 32 7 ff0000
8 32 7 ff0000
7 32 7 ff0000
6 32 7 ff0000
5 32 7 ff0000
4 32 7 ff0000
3 32 7 ff0000
2 32 7 ff0000
1 32 7 ff0000
23 32 8 ff0000
22 32 8 ff0000
21 32 8 ff0000
20 32 8 ff0000
19 32 8 ff0000
18 32 8 ff0000
17 32 8 ff0000
16 32 8 ff0000
15 32 8 ff0000
14 32 8 ff0000
13 32 8 ff0000
12 32 8 ff0000
11 32 8 ff0000
10 32 8 ff0000
9 32 8 ff0000
8 32 8 ff0000
7 32 8 ff0000
6 32 8 ff0000
5 32 8 ff0000
4 32 8 ff0000
3 32 8 ff0000
2 32 8 ff0000
1 32 8 ff0000
23 32 9 ff0000
22 32 9 ff0000
21 32 9 ff0000
20 32 9 ff0000
19 32 9 ff0000
18 32 9 ff0000
17 32 9 ff0000
16 32 9 ff0000
15 32 9 ff0000
14 32 9 ff0000
13 32 9 ff0000
12 32 9 ff0000
11 32 9 ff0000
10 32 9 ff0000
9 32 9 ff0000
8 32 9 ff0000
7 32 9 ff0000
6 32 9 ff0000
5 32 9 ff0000
4 32 9 ff0000
3 32 9 ff0000
2 32 9 ff0000
1 32 9 ff0000
23 32 10 ff0000
22 32 10 ff0000
21 32 10 ff0000
20 32 10 ff0000
19 32 10 ff0000
18 32 10 ff0000
17 32 10 ff0000
16 32 10 ff0000
15 32 10 ff0000
14 32 10 ff0000
13 32 10 ff0000
12 32 10 ff0000
11 32 10 ff0000
10 32 10 ff0000
9 32 10 ff0000
8 32 10 ff0000
7 32 10 ff0000
6 32 10 ff0000
5 32 10 ff0000
4 32 10 ff0000
3 32 10 ff0000
2 32 10 ff0000
1 32 10 ff0000
