plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_00011,EMILE HUCHET 6,FR,595.0,Hard coal,Coal,Steam turbine,,1981,,False,1981-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0343F,Fossil fuels,Hard coal,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.7047,49.15412
OPSD_EU_00012,PROVENCE 5,FR,595.0,Hard coal,Coal,Steam turbine,,1984,,False,1984-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P03469,Fossil fuels,Hard coal,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,5.48957,46.46883
OPSD_EU_00642,SOTO RIBERA 3,ES,350.0,Hard coal,Coal,,,1984,,False,1984-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01","EDP ESPAÑA, S.A.U.",Ribera de Arriba,,18WSRI3-12345-0N,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-5.875677,43.313101
OPSD_EU_00662,CT ESCOMBRERAS 4,ES,289.0,Hard coal,Coal,,,1966,,False,1966-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Cartagena,,,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-0.945118,37.571278
OPSD_EU_00663,CT ESCOMBRERAS 5,ES,289.0,Hard coal,Coal,,,1968,,False,1968-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Cartagena,,,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-0.945118,37.571278
OPSD_EU_00664,CT GUARDO 1,ES,154.94,Hard coal,Coal,,,1964,,False,1964-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Velilla del Río Carrión,,18WGUA1-12345-0T,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-4.852454,42.816278000000004
OPSD_EU_00665,CT GUARDO 2,ES,360.7,Hard coal,Coal,,,1984,,False,1984-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Velilla del Río Carrión,,18WGUA2-12345-0J,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-4.852454,42.816278000000004
OPSD_EU_00666,CT LADA 4,ES,358.4,Hard coal,Coal,,,1981,,False,1981-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Langreo,,18WLAD4-12345-0U,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-5.700787999999999,43.308109
OPSD_EU_00667,CT SANTURCE 1,ES,377.26,Hard coal,Coal,,,1969,,False,1969-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Santurtzi,,,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-3.052938,43.339096000000005
OPSD_EU_00668,CT SANTURCE 2,ES,541.67,Hard coal,Coal,,,1972,,False,1972-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IBERDROLA GENERACIÓN TÉRMICA S.L.,Santurtzi,,,Fossil fuels,Hard coal,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-3.052938,43.339096000000005
