plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_00013,COCHE,FR,384.0,Hydro,Hydro,Pumped storage,,2019,,False,2019-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P02748,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.5103800000000005,45.49667
OPSD_EU_00014,GRAND MAISON,FR,1700.0,Hydro,Hydro,Pumped storage,,2017,,False,2017-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P02756,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.11719,45.20597
OPSD_EU_00015,AVIGNON,FR,126.0,Hydro,Hydro,Run-of-river,,1973,,False,1973-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0326F,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.81721,43.97606
OPSD_EU_00016,BAIX LOGIS NEUF 1,FR,140.0,Hydro,Hydro,Run-of-river,,1960,,False,1960-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0322N,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.78827,44.67605
OPSD_EU_00017,BEAUCHASTEL,FR,198.0,Hydro,Hydro,Run-of-river,,1963,,False,1963-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0321P,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.81049,44.82397
OPSD_EU_00018,BOURG les VALENCE,FR,180.0,Hydro,Hydro,Run-of-river,,1968,,False,1968-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0320R,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.87221,44.96128
OPSD_EU_00019,CADEROUSSE,FR,156.0,Hydro,Hydro,Run-of-river,,1975,,False,1975-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0325H,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.72329,44.096059999999994
OPSD_EU_00020,DONZERE MONDRAGON,FR,348.0,Hydro,Hydro,Run-of-river,,1952,,False,1952-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0324J,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.74217,44.30368
OPSD_EU_00021,GENISSIAT,FR,420.0,Hydro,Hydro,Run-of-river,,1948,,False,1948-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0319C,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,5.81285,46.05271
OPSD_EU_00022,KEMBS,FR,162.1,Hydro,Hydro,Run-of-river,,2016,,False,2016-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0307J,Renewable energy,Hydro,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,7.519589999999999,47.65534
