plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_00001,BOUCHAIN 7,FR,585.0,Natural gas,Natural gas,,,2017,,False,2017-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0244H,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,3.31429,50.297740000000005
OPSD_EU_00002,COMBIGOLFE,FR,425.0,Natural gas,Natural gas,,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0337A,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.86974,43.41616
OPSD_EU_00003,CYCOFOS,FR,428.0,Natural gas,Natural gas,,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0351G,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.88652,43.42801
OPSD_EU_00004,Croix-de-Metz,FR,413.0,Natural gas,Natural gas,,,2019,,False,2019-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0340L,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,5.914680000000001,48.69336
OPSD_EU_00005,DK6,FR,796.0,Natural gas,Natural gas,,,2005,,False,2005-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0350I,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,2.31835,51.046279999999996
OPSD_EU_00006,EMILE HUCHET 7,FR,413.0,Natural gas,Natural gas,,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0344D,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.7047,49.15412
OPSD_EU_00007,EMILE HUCHET 8,FR,413.0,Natural gas,Natural gas,,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0345B,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.7047,49.15412
OPSD_EU_00008,FR-GA-MORANT1,FR,401.0,Natural gas,Natural gas,,,2016,,False,2016-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0318E,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,3.30095,46.27282
OPSD_EU_00009,Pont-sur-Sambre,FR,412.0,Natural gas,Natural gas,,,2019,,False,2019-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0341J,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,3.86807,50.22915
OPSD_EU_00010,SPEM,FR,435.0,Natural gas,Natural gas,,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0334G,Fossil fuels,Natural gas,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-2.1402799999999997,47.30265
