plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_01288,Kyndby Power Station (Unit 21),DK,260.0,Oil,Oil,,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Orsted,Hornsherred,,45V0000000000083,Fossil fuels,Oil,,http://ipaper.ipapercms.dk/DONGENERGY/Internet/DK/ThermalPower/KYVbrochure2012DK/?page=12,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.87987,55.810280000000006
OPSD_EU_01289,Kyndby Power Station (Unit 22),DK,260.0,Oil,Oil,,,1976,,False,1976-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Orsted,Hornsherred,,45V0000000000083,Fossil fuels,Oil,,http://ipaper.ipapercms.dk/DONGENERGY/Internet/DK/ThermalPower/KYVbrochure2012DK/?page=12,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.87987,55.810280000000006
OPSD_EU_01290,Kyndby Power Station (Unit 41),DK,20.0,Oil,Oil,,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Orsted,Hornsherred,,45V0000000000083,Fossil fuels,Oil,,http://ipaper.ipapercms.dk/DONGENERGY/Internet/DK/ThermalPower/KYVbrochure2012DK/?page=12,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.87987,55.810280000000006
OPSD_EU_01291,Kyndby Power Station (Unit 51+52),DK,125.0,Oil,Oil,,,1973,,False,1973-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Orsted,,,45V0000000000083,Fossil fuels,Oil,,http://ipaper.ipapercms.dk/DONGENERGY/Internet/DK/ThermalPower/KYVbrochure2012DK/?page=12,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.87987,55.810280000000006
OPSD_EU_02004,BNA0012d,DE,2.8,Oil,Oil,Steam turbine,,1994,,False,1994-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Sappi Alfeld GmbH,Alfeld,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.82246,51.98513
OPSD_EU_02011,BNA0318,DE,24.8,Oil,Oil,Steam turbine,,2011,,False,2011-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RhönEnergie Fulda GmbH,Fulda,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.68614,50.56636
OPSD_EU_02012,BNA0369,DE,17.0,Oil,Oil,Steam turbine,,1995,,False,1995-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",envia THERM GmbH,Großbothen,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.781496,51.161368
OPSD_EU_02014,BNA0378,DE,386.0,Oil,Oil,Steam turbine,,1973,,False,1973-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Uniper Kraftwerke GmbH,Großmehring,,11WD2INGO0001783,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.503001,48.761412
OPSD_EU_02015,BNA0379,DE,386.0,Oil,Oil,Steam turbine,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Uniper Kraftwerke GmbH,Großmehring,,11WD2INGO0001783,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.503001,48.761412
OPSD_EU_02020,BNA0516,DE,45.0,Oil,Oil,Steam turbine,,1995,,False,1995-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MiRO Mineraloelraffinerie Oberrhein GmbH & Co. KG,Karlsruhe,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.32439,49.06081
OPSD_EU_02021,BNA0517,DE,25.0,Oil,Oil,Steam turbine,,1995,,False,1995-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",MiRO Mineraloelraffinerie Oberrhein GmbH & Co. KG,Karlsruhe,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.32439,49.06081
OPSD_EU_02022,BNA0547,DE,97.1,Oil,Oil,Combined cycle,,2004,,False,2004-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Shell Deutschland Oil GmbH,Köln,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.98084,50.85475
OPSD_EU_02023,BNA0596,DE,92.5,Oil,Oil,Combined cycle,,1997,,False,1997-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",TOTAL Raffinerie Mitteldeutschland GmbH,Leuna,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,12.0193,51.29976
OPSD_EU_02025,BNA0648,DE,85.0,Oil,Oil,Combined cycle,,1975,,False,1975-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EnBW Energie Baden-Württemberg AG,Marbach,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.230005,48.927497
OPSD_EU_02026,BNA0649,DE,263.5,Oil,Oil,Combined cycle,,1975,,False,1975-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EnBW Energie Baden-Württemberg AG,Marbach,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.230005,48.927497
OPSD_EU_02027,BNA0759,DE,88.0,Oil,Oil,Steam turbine,,1972,,False,1972-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Uniper Kraftwerke GmbH,Oldendorf,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.449486,53.966422
OPSD_EU_02028,BNA0766,DE,87.0,Oil,Oil,Steam turbine,,1973,,False,1973-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Uniper Kraftwerke GmbH,Osterrönfeld,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.722775,54.290672
OPSD_EU_02029,BNA0894a,DE,28.0,Oil,Oil,Steam turbine,,1972,,False,1972-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",PCK Raffinerie GmbH,PCK Schwedt,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.23454,53.098180000000006
OPSD_EU_02030,BNA0894b,DE,34.5,Oil,Oil,Steam turbine,,1994,,False,1994-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",PCK Raffinerie GmbH,PCK Schwedt,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.23454,53.098180000000006
OPSD_EU_02031,BNA0894c,DE,106.0,Oil,Oil,Steam turbine,,1998,,False,1998-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",PCK Raffinerie GmbH,PCK Schwedt,,11WD8SCHW5X----D,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.23454,53.098180000000006
OPSD_EU_02032,BNA0894d,DE,106.0,Oil,Oil,Steam turbine,,1998,,False,1998-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",PCK Raffinerie GmbH,PCK Schwedt,,11WD8SCHW5X----D,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.23454,53.098180000000006
OPSD_EU_02033,BNA0894e,DE,59.0,Oil,Oil,Steam turbine,,2011,,False,2011-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",PCK Raffinerie GmbH,PCK Schwedt,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.23454,53.098180000000006
OPSD_EU_02034,BNA0937,DE,23.3,Oil,Oil,Steam turbine,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EnBW Energie Baden-Württemberg AG,Stuttgart,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.221111,48.81583300000001
OPSD_EU_02035,BNA0938,DE,23.3,Oil,Oil,Steam turbine,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EnBW Energie Baden-Württemberg AG,Stuttgart,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.221111,48.81583300000001
OPSD_EU_02036,BNA0939b,DE,23.3,Oil,Oil,Steam turbine,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EnBW Energie Baden-Württemberg AG,Stuttgart,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.221111,48.81583300000001
OPSD_EU_02037,BNA0993,DE,415.0,Oil,Oil,Steam turbine,,1974,,False,1974-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Uniper Kraftwerke GmbH,Vohburg,,11WD2IRSC000179N,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,11.580033,48.76702
OPSD_EU_02040,BNA1007b,DE,10.5,Oil,Oil,Steam turbine,,1978,,False,1978-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Allgäuer Überlandwerk GmbH,Waltenhofen-Veits,,,Fossil fuels,Oil,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,10.31911,47.683464
