plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_00030,CYCOFOS TV2,FR,62.0,Other or unspecified energy sources,Other,,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",,,,17W100P100P0352E,Other or unspecified energy sources,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,4.88652,43.42801
OPSD_EU_00955,Drax GT,UK,75.0,Mixed fossil fuels,Other,,,1971,,False,1971-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Drax Power,,,48WSTN000DRAXXGK,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-0.9964629999999999,53.73648000000001
OPSD_EU_00974,West Burton GT,UK,40.0,Mixed fossil fuels,Other,,,1967,,False,1967-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EDF Energy,,,48WSTN0000WBUGT2,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-0.810597,53.361541
OPSD_EU_00984,Indian Queens,UK,140.0,Mixed fossil fuels,Other,,,1996,,False,1996-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Energy Capital Partners,,,48WSTN00000INDQH,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-4.899173,50.395019
OPSD_EU_01004,Aberthaw GT,UK,51.0,Mixed fossil fuels,Other,,,1971,,False,1971-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RWE Npower,,,48WSTN000ABTHGTK,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-3.406652,51.387471000000005
OPSD_EU_01005,Cowes,UK,140.0,Mixed fossil fuels,Other,,,1982,,False,1982-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RWE Npower,,,48WSTN00000COWEA,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-1.286168,50.746935
OPSD_EU_01006,Didcot GT,UK,100.0,Mixed fossil fuels,Other,,,1972,,False,1972-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RWE Npower,,,48WSTN000DIDCGTK,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-1.268305,51.6248
OPSD_EU_01007,Little Barford GT,UK,17.0,Mixed fossil fuels,Other,,,2006,,False,2006-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",RWE Npower,,,48WSTN000LBAR-G1,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-0.269038,52.204863
OPSD_EU_01035,Barra,UK,2.5,Mixed fossil fuels,Other,,,1986,,False,1986-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",SSE,,,,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-4.780882,57.733565000000006
OPSD_EU_01036,Bowmore,UK,6.0,Mixed fossil fuels,Other,,,1946,,False,1946-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",SSE,,,,Fossil fuels,Mixed fossil fuels,,https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes#content,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,-6.27336,55.760587
