id,name,country,country_code,latitude,longitude,status,status_class,reactor_type,reactor_model,construction_start_at,operational_from,operational_to,temporal_start,temporal_end,capacity_mwe,last_updated_at,source,iaea_id,dataset_region,geometry_note,map_year,period_start,period_end,decade_label,status_at_year,snapshot_rule
243,G-2 (Marcoule),France,FR,44.142,4.713,Shutdown,shutdown_or_decommissioned,GCR,,1955-03-01,1959-04-22,1980-02-02,1959-04-22,1980-02-02,36.0,2015-05-24T04:50:51+03:00,WNA/IAEA,172.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
16,APS-1 Obninsk,Russia,RU,55.084,36.57,Shutdown,shutdown_or_decommissioned,LWGR,AM-1,1951-01-01,1954-12-01,2002-04-29,1954-12-01,2002-04-29,5.0,2015-05-24T04:51:32+03:00,WNA/IAEA,447.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
105,Calder Hall-1,United Kingdom,GB,54.42,-3.491,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1953-08-01,1956-10-01,2003-03-31,1956-10-01,2003-03-31,35.0,2015-05-24T04:51:09+03:00,WNA/IAEA,231.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
106,Calder Hall-2,United Kingdom,GB,54.42,-3.491,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1953-08-01,1957-02-01,2003-03-31,1957-02-01,2003-03-31,35.0,2015-05-24T04:51:09+03:00,WNA/IAEA,232.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
107,Calder Hall-3,United Kingdom,GB,54.42,-3.491,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1955-08-01,1958-05-01,2003-03-31,1958-05-01,2003-03-31,35.0,2015-05-24T04:51:10+03:00,WNA/IAEA,233.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
108,Calder Hall-4,United Kingdom,GB,54.42,-3.491,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1955-08-01,1959-04-01,2003-03-31,1959-04-01,2003-03-31,35.0,2015-05-24T04:51:10+03:00,WNA/IAEA,234.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
127,Chapelcross-1,United Kingdom,GB,55.014,-3.223,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1955-10-01,1959-03-01,2004-06-29,1959-03-01,2004-06-29,35.0,2015-05-24T04:51:17+03:00,WNA/IAEA,252.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
128,Chapelcross-2,United Kingdom,GB,55.014,-3.223,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1955-10-01,1959-08-01,2004-06-29,1959-08-01,2004-06-29,35.0,2015-05-24T04:51:18+03:00,WNA/IAEA,253.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
129,Chapelcross-3,United Kingdom,GB,55.014,-3.223,Shutdown,shutdown_or_decommissioned,GCR,MAGNOX,1955-10-01,1959-12-01,2004-06-29,1959-12-01,2004-06-29,35.0,2015-05-24T04:51:18+03:00,WNA/IAEA,254.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1960,1960-01-01,1969-12-31,1960s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
73,BR-3,Belgium,BE,51.217,5.099,Shutdown,shutdown_or_decommissioned,PWR,Prototype,1957-11-01,1962-10-10,1987-06-30,1962-10-10,1987-06-30,11.0,2015-05-24T04:50:07+03:00,WNA/IAEA,8.0,Europe_bbox_lon_-25_45_lat_34_72,Approximate point coordinates from GeoNuclearData,1970,1970-01-01,1979-12-31,1970s,active,operational_from <= Jan 1 of map_year and operational_to > Jan 1 of map_year
