# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-13 -3 0 ffffff
-12 -3 0 ffffff
-11 -3 0 ffffff
-10 -3 0 ffffff
-9 -3 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-12 -2 0 ffffff
-2 -2 0 ffffff
-12 -1 0 ffffff
-2 -1 0 ffffff
-12 0 0 ffffff
-2 0 0 ffffff
-13 1 0 ffffff
-12 1 0 ffffff
-11 1 0 ffffff
-10 1 0 ffffff
-9 1 0 ffffff
-8 1 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-12 1 1 ffffff
-2 1 1 ffffff
-12 1 2 ffffff
-2 1 2 ffffff
-13 1 3 ffffff
-12 1 3 ffffff
-11 1 3 ffffff
-10 1 3 ffffff
-9 1 3 ffffff
-8 1 3 ffffff
-7 1 3 ffffff
-6 1 3 ffffff
-5 1 3 ffffff
-4 1 3 ffffff
-3 1 3 ffffff
-2 1 3 ffffff
-1 1 3 ffffff
-12 2 3 ffffff
-2 2 3 ffffff
-12 3 3 ffffff
-2 3 3 ffffff
-12 4 3 ffffff
-2 4 3 ffffff
-13 5 3 ffffff
-12 5 3 ffffff
-11 5 3 ffffff
-10 5 3 ffffff
-9 5 3 ffffff
-8 5 3 ffffff
-7 5 3 ffffff
-6 5 3 ffffff
-5 5 3 ffffff
-4 5 3 ffffff
-3 5 3 ffffff
-2 5 3 ffffff
-1 5 3 ffffff
-12 5 4 ffffff
-2 5 4 ffffff
-12 5 5 ffffff
-2 5 5 ffffff
