# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
2 1 2 ffffff
3 1 2 ffffff
2 2 2 ffffff
3 2 2 ffffff
0 0 3 ffffff
1 0 3 ffffff
2 0 3 ffffff
3 0 3 ffffff
4 0 3 ffffff
5 0 3 ffffff
6 0 3 ffffff
7 0 3 ffffff
8 0 3 ffffff
9 0 3 ffffff
10 0 3 ffffff
11 0 3 ffffff
12 0 3 ffffff
13 0 3 ffffff
14 0 3 ffffff
15 0 3 ffffff
0 1 3 ffffff
1 1 3 ffffff
2 1 3 ffffff
3 1 3 ffffff
4 1 3 ffffff
5 1 3 ffffff
6 1 3 ffffff
7 1 3 ffffff
8 1 3 ffffff
9 1 3 ffffff
10 1 3 ffffff
11 1 3 ffffff
12 1 3 ffffff
13 1 3 ffffff
14 1 3 ffffff
15 1 3 ffffff
0 2 3 ffffff
1 2 3 ffffff
2 2 3 ffffff
3 2 3 ffffff
4 2 3 ffffff
5 2 3 ffffff
6 2 3 ffffff
7 2 3 ffffff
8 2 3 ffffff
9 2 3 ffffff
10 2 3 ffffff
11 2 3 ffffff
12 2 3 ffffff
13 2 3 ffffff
14 2 3 ffffff
15 2 3 ffffff
0 3 3 ffffff
1 3 3 ffffff
2 3 3 ffffff
3 3 3 ffffff
4 3 3 ffffff
5 3 3 ffffff
6 3 3 ffffff
7 3 3 ffffff
8 3 3 ffffff
9 3 3 ffffff
10 3 3 ffffff
11 3 3 ffffff
12 3 3 ffffff
13 3 3 ffffff
14 3 3 ffffff
15 3 3 ffffff
0 4 3 ffffff
1 4 3 ffffff
2 4 3 ffffff
3 4 3 ffffff
4 4 3 ffffff
5 4 3 ffffff
6 4 3 ffffff
7 4 3 ffffff
8 4 3 ffffff
9 4 3 ffffff
10 4 3 ffffff
11 4 3 ffffff
12 4 3 ffffff
13 4 3 ffffff
14 4 3 ffffff
15 4 3 ffffff
0 5 3 ffffff
1 5 3 ffffff
2 5 3 ffffff
3 5 3 ffffff
4 5 3 ffffff
5 5 3 ffffff
6 5 3 ffffff
7 5 3 ffffff
8 5 3 ffffff
9 5 3 ffffff
10 5 3 ffffff
11 5 3 ffffff
12 5 3 ffffff
13 5 3 ffffff
14 5 3 ffffff
15 5 3 ffffff
0 6 3 ffffff
1 6 3 ffffff
2 6 3 ffffff
3 6 3 ffffff
4 6 3 ffffff
5 6 3 ffffff
6 6 3 ffffff
7 6 3 ffffff
8 6 3 ffffff
9 6 3 ffffff
