# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
60 1 0 446622
60 1 1 446622
60 1 2 446622
60 1 3 446622
60 1 4 446622
60 1 5 446622
60 1 6 446622
60 1 7 446622
60 1 8 446622
60 1 9 446622
60 2 0 446622
60 2 1 446622
60 2 2 446622
60 2 3 446622
60 2 4 446622
60 2 5 446622
60 2 6 446622
60 2 7 446622
60 2 8 446622
60 2 9 446622
60 3 0 446622
60 3 1 446622
60 3 2 446622
60 3 3 446622
60 3 4 446622
60 3 5 446622
60 3 6 446622
60 3 7 446622
60 3 8 446622
60 3 9 446622
60 4 0 446622
60 4 1 446622
60 4 2 446622
60 4 3 446622
60 4 4 446622
60 4 5 446622
60 4 6 446622
60 4 7 446622
60 4 8 446622
60 4 9 446622
60 5 0 446622
60 5 1 446622
60 5 2 446622
60 5 3 446622
60 5 4 446622
60 5 5 446622
60 5 6 446622
60 5 7 446622
60 5 8 446622
60 5 9 446622
60 6 0 446622
60 6 1 446622
60 6 2 446622
60 6 3 446622
60 6 4 446622
60 6 5 446622
60 6 6 446622
60 6 7 446622
60 6 8 446622
60 6 9 446622
60 7 0 446622
60 7 1 446622
60 7 2 446622
60 7 3 446622
60 7 4 446622
60 7 5 446622
60 7 6 446622
60 7 7 446622
60 7 8 446622
60 7 9 446622
60 8 0 446622
60 8 1 446622
60 8 2 446622
60 8 3 446622
60 8 4 446622
60 8 5 446622
60 8 6 446622
60 8 7 446622
60 8 8 446622
60 8 9 446622
60 9 0 446622
60 9 1 446622
60 9 2 446622
60 9 3 446622
60 9 4 446622
60 9 5 446622
60 9 6 446622
60 9 7 446622
60 9 8 446622
60 9 9 446622
60 10 0 446622
60 10 1 446622
60 10 2 446622
60 10 3 446622
60 10 4 446622
60 10 5 446622
60 10 6 446622
60 10 7 446622
60 10 8 446622
60 10 9 446622
60 11 0 446622
60 11 1 446622
60 11 2 446622
60 11 3 446622
60 11 4 446622
60 11 5 446622
60 11 6 446622
60 11 7 446622
60 11 8 446622
60 11 9 446622
60 12 0 446622
60 12 1 446622
60 12 2 446622
60 12 3 446622
60 12 4 446622
60 12 5 446622
60 12 6 446622
60 12 7 446622
60 12 8 446622
60 12 9 446622
60 13 0 446622
60 13 1 446622
60 13 2 446622
60 13 3 446622
60 13 4 446622
60 13 5 446622
60 13 6 446622
60 13 7 446622
60 13 8 446622
60 13 9 446622
60 14 0 446622
60 14 1 446622
60 14 2 446622
60 14 3 446622
60 14 4 446622
60 14 5 446622
60 14 6 446622
60 14 7 446622
60 14 8 446622
60 14 9 446622
60 15 0 446622
60 15 1 446622
60 15 2 446622
60 15 3 446622
60 15 4 446622
60 15 5 446622
60 15 6 446622
60 15 7 446622
60 15 8 446622
60 15 9 446622
60 16 0 446622
60 16 1 446622
60 16 2 446622
60 16 3 446622
60 16 4 446622
60 16 5 446622
60 16 6 446622
60 16 7 446622
60 16 8 446622
60 16 9 446622
60 17 0 446622
60 17 1 446622
60 17 2 446622
60 17 3 446622
60 17 4 446622
60 17 5 446622
60 17 6 446622
60 17 7 446622
60 17 8 446622
60 17 9 446622
60 18 0 446622
60 18 1 446622
60 18 2 446622
60 18 3 446622
60 18 4 446622
60 18 5 446622
60 18 6 446622
60 18 7 446622
60 18 8 446622
60 18 9 446622
