# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
40 37 0 0077aa
40 37 1 0077aa
40 37 2 0077aa
40 37 3 0077aa
40 37 4 0077aa
40 37 5 0077aa
40 37 6 0077aa
40 37 7 0077aa
40 37 8 0077aa
40 37 9 0077aa
40 38 0 0077aa
40 38 1 0077aa
40 38 2 0077aa
40 38 3 0077aa
40 38 4 0077aa
40 38 5 0077aa
40 38 6 0077aa
40 38 7 0077aa
40 38 8 0077aa
40 38 9 0077aa
40 39 0 0077aa
40 39 1 0077aa
40 39 2 0077aa
40 39 3 0077aa
40 39 4 0077aa
40 39 5 0077aa
40 39 6 0077aa
40 39 7 0077aa
40 39 8 0077aa
40 39 9 0077aa
40 40 0 0077aa
40 40 1 0077aa
40 40 2 0077aa
40 40 3 0077aa
40 40 4 0077aa
40 40 5 0077aa
40 40 6 0077aa
40 40 7 0077aa
40 40 8 0077aa
40 40 9 0077aa
40 41 0 0077aa
40 41 1 0077aa
40 41 2 0077aa
40 41 3 0077aa
40 41 4 0077aa
40 41 5 0077aa
40 41 6 0077aa
40 41 7 0077aa
40 41 8 0077aa
40 41 9 0077aa
40 42 0 0077aa
40 42 1 0077aa
40 42 2 0077aa
40 42 3 0077aa
40 42 4 0077aa
40 42 5 0077aa
40 42 6 0077aa
40 42 7 0077aa
40 42 8 0077aa
40 42 9 0077aa
40 43 0 0077aa
40 43 1 0077aa
40 43 2 0077aa
40 43 3 0077aa
40 43 4 0077aa
40 43 5 0077aa
40 43 6 0077aa
40 43 7 0077aa
40 43 8 0077aa
40 43 9 0077aa
