# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 47 0 00BB2F
0 47 1 00BB2F
0 47 2 00BB2F
0 47 3 00BB2F
0 47 4 00BB2F
0 47 5 00BB2F
0 47 6 00BB2F
0 47 7 00BB2F
0 47 8 00BB2F
0 47 9 00BB2F
1 47 0 00BB2F
1 47 1 00BB2F
1 47 2 00BB2F
1 47 3 00BB2F
1 47 4 00BB2F
1 47 5 00BB2F
1 47 6 00BB2F
1 47 7 00BB2F
1 47 8 00BB2F
1 47 9 00BB2F
2 47 0 00BB2F
2 47 1 00BB2F
2 47 2 00BB2F
2 47 3 00BB2F
2 47 4 00BB2F
2 47 5 00BB2F
2 47 6 00BB2F
2 47 7 00BB2F
2 47 8 00BB2F
2 47 9 00BB2F
3 47 0 00BB2F
3 47 1 00BB2F
3 47 2 00BB2F
3 47 3 00BB2F
3 47 4 00BB2F
3 47 5 00BB2F
3 47 6 00BB2F
3 47 7 00BB2F
3 47 8 00BB2F
3 47 9 00BB2F
6 47 0 00BB2F
6 47 1 00BB2F
6 47 2 00BB2F
6 47 3 00BB2F
6 47 4 00BB2F
6 47 5 00BB2F
6 47 6 00BB2F
6 47 7 00BB2F
6 47 8 00BB2F
6 47 9 00BB2F
7 47 0 00BB2F
7 47 1 00BB2F
7 47 2 00BB2F
7 47 3 00BB2F
7 47 4 00BB2F
7 47 5 00BB2F
7 47 6 00BB2F
7 47 7 00BB2F
7 47 8 00BB2F
7 47 9 00BB2F
8 47 0 00BB2F
8 47 1 00BB2F
8 47 2 00BB2F
8 47 3 00BB2F
8 47 4 00BB2F
8 47 5 00BB2F
8 47 6 00BB2F
8 47 7 00BB2F
8 47 8 00BB2F
8 47 9 00BB2F
9 47 0 00BB2F
9 47 1 00BB2F
9 47 2 00BB2F
9 47 3 00BB2F
9 47 4 00BB2F
9 47 5 00BB2F
9 47 6 00BB2F
9 47 7 00BB2F
9 47 8 00BB2F
9 47 9 00BB2F
10 47 0 00BB2F
10 47 1 00BB2F
10 47 2 00BB2F
10 47 3 00BB2F
10 47 4 00BB2F
10 47 5 00BB2F
10 47 6 00BB2F
10 47 7 00BB2F
10 47 8 00BB2F
10 47 9 00BB2F
13 47 0 00BB2F
13 47 1 00BB2F
13 47 2 00BB2F
13 47 3 00BB2F
13 47 4 00BB2F
13 47 5 00BB2F
13 47 6 00BB2F
13 47 7 00BB2F
13 47 8 00BB2F
13 47 9 00BB2F
14 47 0 00BB2F
14 47 1 00BB2F
14 47 2 00BB2F
14 47 3 00BB2F
14 47 4 00BB2F
14 47 5 00BB2F
14 47 6 00BB2F
14 47 7 00BB2F
14 47 8 00BB2F
14 47 9 00BB2F
15 47 0 00BB2F
15 47 1 00BB2F
15 47 2 00BB2F
15 47 3 00BB2F
15 47 4 00BB2F
15 47 5 00BB2F
15 47 6 00BB2F
15 47 7 00BB2F
15 47 8 00BB2F
15 47 9 00BB2F
16 47 0 00BB2F
16 47 1 00BB2F
16 47 2 00BB2F
16 47 3 00BB2F
16 47 4 00BB2F
16 47 5 00BB2F
16 47 6 00BB2F
16 47 7 00BB2F
16 47 8 00BB2F
16 47 9 00BB2F
17 47 0 00BB2F
17 47 1 00BB2F
17 47 2 00BB2F
17 47 3 00BB2F
17 47 4 00BB2F
17 47 5 00BB2F
17 47 6 00BB2F
17 47 7 00BB2F
17 47 8 00BB2F
17 47 9 00BB2F
20 47 0 00BB2F
20 47 1 00BB2F
20 47 2 00BB2F
20 47 3 00BB2F
20 47 4 00BB2F
20 47 5 00BB2F
20 47 6 00BB2F
20 47 7 00BB2F
20 47 8 00BB2F
20 47 9 00BB2F
21 47 0 00BB2F
21 47 1 00BB2F
21 47 2 00BB2F
21 47 3 00BB2F
21 47 4 00BB2F
21 47 5 00BB2F
21 47 6 00BB2F
21 47 7 00BB2F
21 47 8 00BB2F
21 47 9 00BB2F
22 47 0 00BB2F
22 47 1 00BB2F
22 47 2 00BB2F
22 47 3 00BB2F
22 47 4 00BB2F
22 47 5 00BB2F
22 47 6 00BB2F
22 47 7 00BB2F
22 47 8 00BB2F
22 47 9 00BB2F
23 47 0 00BB2F
23 47 1 00BB2F
23 47 2 00BB2F
23 47 3 00BB2F
23 47 4 00BB2F
23 47 5 00BB2F
23 47 6 00BB2F
23 47 7 00BB2F
23 47 8 00BB2F
23 47 9 00BB2F
24 47 0 00BB2F
24 47 1 00BB2F
24 47 2 00BB2F
24 47 3 00BB2F
24 47 4 00BB2F
24 47 5 00BB2F
24 47 6 00BB2F
24 47 7 00BB2F
24 47 8 00BB2F
24 47 9 00BB2F
25 47 0 00BB2F
25 47 1 00BB2F
25 47 2 00BB2F
25 47 3 00BB2F
25 47 4 00BB2F
25 47 5 00BB2F
25 47 6 00BB2F
25 47 7 00BB2F
25 47 8 00BB2F
25 47 9 00BB2F
26 47 0 00BB2F
26 47 1 00BB2F
26 47 2 00BB2F
26 47 3 00BB2F
26 47 4 00BB2F
26 47 5 00BB2F
26 47 6 00BB2F
26 47 7 00BB2F
26 47 8 00BB2F
26 47 9 00BB2F
27 47 0 00BB2F
27 47 1 00BB2F
27 47 2 00BB2F
27 47 3 00BB2F
27 47 4 00BB2F
27 47 5 00BB2F
27 47 6 00BB2F
27 47 7 00BB2F
27 47 8 00BB2F
27 47 9 00BB2F
28 47 0 00BB2F
28 47 1 00BB2F
28 47 2 00BB2F
28 47 3 00BB2F
28 47 4 00BB2F
28 47 5 00BB2F
28 47 6 00BB2F
28 47 7 00BB2F
28 47 8 00BB2F
28 47 9 00BB2F
29 47 0 00BB2F
29 47 1 00BB2F
29 47 2 00BB2F
29 47 3 00BB2F
29 47 4 00BB2F
29 47 5 00BB2F
29 47 6 00BB2F
29 47 7 00BB2F
29 47 8 00BB2F
29 47 9 00BB2F
30 47 0 00BB2F
30 47 1 00BB2F
30 47 2 00BB2F
30 47 3 00BB2F
30 47 4 00BB2F
30 47 5 00BB2F
30 47 6 00BB2F
30 47 7 00BB2F
30 47 8 00BB2F
30 47 9 00BB2F
31 47 0 00BB2F
31 47 1 00BB2F
31 47 2 00BB2F
31 47 3 00BB2F
31 47 4 00BB2F
31 47 5 00BB2F
31 47 6 00BB2F
31 47 7 00BB2F
31 47 8 00BB2F
31 47 9 00BB2F
32 47 0 00BB2F
32 47 1 00BB2F
32 47 2 00BB2F
32 47 3 00BB2F
32 47 4 00BB2F
32 47 5 00BB2F
32 47 6 00BB2F
32 47 7 00BB2F
32 47 8 00BB2F
32 47 9 00BB2F
33 47 0 00BB2F
33 47 1 00BB2F
33 47 2 00BB2F
33 47 3 00BB2F
33 47 4 00BB2F
33 47 5 00BB2F
33 47 6 00BB2F
33 47 7 00BB2F
33 47 8 00BB2F
33 47 9 00BB2F
34 47 0 00BB2F
34 47 1 00BB2F
34 47 2 00BB2F
34 47 3 00BB2F
34 47 4 00BB2F
34 47 5 00BB2F
34 47 6 00BB2F
34 47 7 00BB2F
34 47 8 00BB2F
34 47 9 00BB2F
35 47 0 00BB2F
35 47 1 00BB2F
35 47 2 00BB2F
35 47 3 00BB2F
35 47 4 00BB2F
35 47 5 00BB2F
35 47 6 00BB2F
35 47 7 00BB2F
35 47 8 00BB2F
35 47 9 00BB2F
36 47 0 00BB2F
36 47 1 00BB2F
36 47 2 00BB2F
36 47 3 00BB2F
36 47 4 00BB2F
36 47 5 00BB2F
36 47 6 00BB2F
36 47 7 00BB2F
36 47 8 00BB2F
36 47 9 00BB2F
37 47 0 00BB2F
37 47 1 00BB2F
37 47 2 00BB2F
37 47 3 00BB2F
37 47 4 00BB2F
37 47 5 00BB2F
37 47 6 00BB2F
37 47 7 00BB2F
37 47 8 00BB2F
37 47 9 00BB2F
38 47 0 00BB2F
38 47 1 00BB2F
38 47 2 00BB2F
38 47 3 00BB2F
38 47 4 00BB2F
38 47 5 00BB2F
38 47 6 00BB2F
38 47 7 00BB2F
38 47 8 00BB2F
38 47 9 00BB2F
39 47 0 00BB2F
39 47 1 00BB2F
39 47 2 00BB2F
39 47 3 00BB2F
39 47 4 00BB2F
39 47 5 00BB2F
39 47 6 00BB2F
39 47 7 00BB2F
39 47 8 00BB2F
39 47 9 00BB2F
40 47 0 00BB2F
40 47 1 00BB2F
40 47 2 00BB2F
40 47 3 00BB2F
40 47 4 00BB2F
40 47 5 00BB2F
40 47 6 00BB2F
40 47 7 00BB2F
40 47 8 00BB2F
40 47 9 00BB2F
41 47 0 00BB2F
41 47 1 00BB2F
41 47 2 00BB2F
41 47 3 00BB2F
41 47 4 00BB2F
41 47 5 00BB2F
41 47 6 00BB2F
41 47 7 00BB2F
41 47 8 00BB2F
41 47 9 00BB2F
42 47 0 00BB2F
42 47 1 00BB2F
42 47 2 00BB2F
42 47 3 00BB2F
42 47 4 00BB2F
42 47 5 00BB2F
42 47 6 00BB2F
42 47 7 00BB2F
42 47 8 00BB2F
42 47 9 00BB2F
43 47 0 00BB2F
43 47 1 00BB2F
43 47 2 00BB2F
43 47 3 00BB2F
43 47 4 00BB2F
43 47 5 00BB2F
43 47 6 00BB2F
43 47 7 00BB2F
43 47 8 00BB2F
43 47 9 00BB2F
44 47 0 00BB2F
44 47 1 00BB2F
44 47 2 00BB2F
44 47 3 00BB2F
44 47 4 00BB2F
44 47 5 00BB2F
44 47 6 00BB2F
44 47 7 00BB2F
44 47 8 00BB2F
44 47 9 00BB2F
45 47 0 00BB2F
45 47 1 00BB2F
45 47 2 00BB2F
45 47 3 00BB2F
45 47 4 00BB2F
45 47 5 00BB2F
45 47 6 00BB2F
45 47 7 00BB2F
45 47 8 00BB2F
45 47 9 00BB2F
46 47 0 00BB2F
46 47 1 00BB2F
46 47 2 00BB2F
46 47 3 00BB2F
46 47 4 00BB2F
46 47 5 00BB2F
46 47 6 00BB2F
46 47 7 00BB2F
