DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS,geo_code
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL:Albania,2025,2363314,,,AL
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL0:Shqipëria,2025,2363314,,,AL0
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL01:Veri,2025,633710,,,AL01
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL02:Qender,2025,986944,,,AL02
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AL03:Jug,2025,742660,,,AL03
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT:Austria,2025,9197213,,,AT
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT1:Ostösterreich,2025,4057593,,,AT1
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT11:Burgenland,2025,301790,,,AT11
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT12:Niederösterreich,2025,1727514,,,AT12
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2025,2028289,,,AT13
ESTAT:DEMO_R_D2JAN(1.0),08/05/26 11:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT2:Südösterreich,2025,1841811,,,AT2
