STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,crops,Crops,strucpro,Structure of production,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2015,,695.50,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2016,,698.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2018,,678.20,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2019,,666.10,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2020,,684.00,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2021,,691.40,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2022,,690.90,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2023,,701.30,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL,Albania,2024,,649.92,,,,,
dataflow,ESTAT:APRO_CPSHR(1.0),Crop production in EU standard humidity by NUTS 2 region,A,Annual,C0000,Cereals for the production of grain (including seed),HPRD_HUMD_EU_THS_T,Harvested production in EU standard humidity - thousand tonnes,AL0,Shqipëria,2021,,691.40,,,,,
