# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
5 11 3 fb8c00
5 11 4 fb8c00
5 11 5 fb8c00
5 12 3 fb8c00
5 12 4 fb8c00
5 12 5 fb8c00
6 11 3 fb8c00
6 11 4 fb8c00
6 11 5 fb8c00
6 12 3 fb8c00
6 12 4 fb8c00
6 12 5 fb8c00
7 11 3 fb8c00
7 11 4 fb8c00
7 11 5 fb8c00
7 12 3 fb8c00
7 12 4 fb8c00
7 12 5 fb8c00
8 11 3 fb8c00
8 11 4 fb8c00
8 11 5 fb8c00
8 12 3 fb8c00
8 12 4 fb8c00
8 12 5 fb8c00
9 11 3 fb8c00
9 11 4 fb8c00
9 11 5 fb8c00
9 12 3 fb8c00
9 12 4 fb8c00
9 12 5 fb8c00
10 11 3 fb8c00
10 11 4 fb8c00
10 11 5 fb8c00
10 12 3 fb8c00
10 12 4 fb8c00
10 12 5 fb8c00
11 11 3 fb8c00
11 11 4 fb8c00
11 11 5 fb8c00
11 12 3 fb8c00
11 12 4 fb8c00
11 12 5 fb8c00
