# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
1 1 0 c0c0c0
1 2 0 c0c0c0
1 3 0 c0c0c0
1 4 0 c0c0c0
1 5 0 c0c0c0
1 6 0 c0c0c0
1 7 0 c0c0c0
2 1 0 c0c0c0
2 2 0 c0c0c0
2 3 0 c0c0c0
2 4 0 c0c0c0
2 5 0 c0c0c0
2 6 0 c0c0c0
2 7 0 c0c0c0
3 1 0 c0c0c0
3 2 0 c0c0c0
3 3 0 c0c0c0
3 4 0 c0c0c0
3 5 0 c0c0c0
3 6 0 c0c0c0
3 7 0 c0c0c0
4 1 0 c0c0c0
4 2 0 c0c0c0
4 3 0 c0c0c0
4 4 0 c0c0c0
4 5 0 c0c0c0
4 6 0 c0c0c0
4 7 0 c0c0c0
5 1 0 c0c0c0
5 2 0 c0c0c0
5 3 0 c0c0c0
5 4 0 c0c0c0
5 5 0 c0c0c0
5 6 0 c0c0c0
5 7 0 c0c0c0
6 1 0 c0c0c0
6 2 0 c0c0c0
6 3 0 c0c0c0
6 4 0 c0c0c0
6 5 0 c0c0c0
6 6 0 c0c0c0
6 7 0 c0c0c0
7 1 0 c0c0c0
7 2 0 c0c0c0
7 3 0 c0c0c0
7 4 0 c0c0c0
7 5 0 c0c0c0
7 6 0 c0c0c0
7 7 0 c0c0c0
11 1 0 c0c0c0
11 2 0 c0c0c0
11 3 0 c0c0c0
11 4 0 c0c0c0
11 5 0 c0c0c0
11 6 0 c0c0c0
11 7 0 c0c0c0
12 1 0 c0c0c0
12 2 0 c0c0c0
12 3 0 c0c0c0
12 4 0 c0c0c0
12 5 0 c0c0c0
12 6 0 c0c0c0
12 7 0 c0c0c0
13 1 0 c0c0c0
13 2 0 c0c0c0
13 3 0 c0c0c0
13 4 0 c0c0c0
13 5 0 c0c0c0
13 6 0 c0c0c0
13 7 0 c0c0c0
14 1 0 c0c0c0
14 2 0 c0c0c0
14 3 0 c0c0c0
14 4 0 c0c0c0
14 5 0 c0c0c0
14 6 0 c0c0c0
14 7 0 c0c0c0
15 1 0 c0c0c0
15 2 0 c0c0c0
15 3 0 c0c0c0
15 4 0 c0c0c0
15 5 0 c0c0c0
15 6 0 c0c0c0
15 7 0 c0c0c0
16 1 0 c0c0c0
16 2 0 c0c0c0
16 3 0 c0c0c0
16 4 0 c0c0c0
16 5 0 c0c0c0
16 6 0 c0c0c0
16 7 0 c0c0c0
17 1 0 c0c0c0
17 2 0 c0c0c0
17 3 0 c0c0c0
17 4 0 c0c0c0
17 5 0 c0c0c0
17 6 0 c0c0c0
17 7 0 c0c0c0
8 2 0 c0c0c0
8 3 0 c0c0c0
8 4 0 c0c0c0
8 5 0 c0c0c0
8 6 0 c0c0c0
8 7 0 c0c0c0
9 2 0 c0c0c0
9 3 0 c0c0c0
9 4 0 c0c0c0
9 5 0 c0c0c0
9 6 0 c0c0c0
9 7 0 c0c0c0
10 2 0 c0c0c0
10 3 0 c0c0c0
10 4 0 c0c0c0
10 5 0 c0c0c0
10 6 0 c0c0c0
10 7 0 c0c0c0
1 1 1 c0c0c0
2 1 1 c0c0c0
3 1 1 c0c0c0
4 1 1 c0c0c0
5 1 1 c0c0c0
6 1 1 c0c0c0
7 1 1 c0c0c0
1 1 1 c0c0c0
1 2 1 c0c0c0
1 3 1 c0c0c0
1 4 1 c0c0c0
1 5 1 c0c0c0
1 6 1 c0c0c0
1 7 1 c0c0c0
7 1 1 c0c0c0
7 2 1 c0c0c0
7 3 1 c0c0c0
7 4 1 c0c0c0
7 5 1 c0c0c0
7 6 1 c0c0c0
7 7 1 c0c0c0
1 7 1 c0c0c0
2 7 1 c0c0c0
3 7 1 c0c0c0
4 7 1 c0c0c0
5 7 1 c0c0c0
6 7 1 c0c0c0
7 7 1 c0c0c0
8 7 1 c0c0c0
9 7 1 c0c0c0
10 7 1 c0c0c0
11 7 1 c0c0c0
12 7 1 c0c0c0
13 7 1 c0c0c0
14 7 1 c0c0c0
15 7 1 c0c0c0
16 7 1 c0c0c0
17 7 1 c0c0c0
11 1 1 c0c0c0
12 1 1 c0c0c0
13 1 1 c0c0c0
14 1 1 c0c0c0
15 1 1 c0c0c0
16 1 1 c0c0c0
17 1 1 c0c0c0
11 1 1 c0c0c0
11 2 1 c0c0c0
11 3 1 c0c0c0
11 4 1 c0c0c0
11 5 1 c0c0c0
11 6 1 c0c0c0
11 7 1 c0c0c0
17 1 1 c0c0c0
17 2 1 c0c0c0
17 3 1 c0c0c0
17 4 1 c0c0c0
17 5 1 c0c0c0
17 6 1 c0c0c0
17 7 1 c0c0c0
11 7 1 c0c0c0
12 7 1 c0c0c0
13 7 1 c0c0c0
14 7 1 c0c0c0
15 7 1 c0c0c0
16 7 1 c0c0c0
17 7 1 c0c0c0
7 2 1 c0c0c0
7 3 1 c0c0c0
8 2 1 c0c0c0
8 3 1 c0c0c0
9 2 1 c0c0c0
9 3 1 c0c0c0
10 2 1 c0c0c0
10 3 1 c0c0c0
11 2 1 c0c0c0
11 3 1 c0c0c0
7 6 1 c0c0c0
7 7 1 c0c0c0
8 6 1 c0c0c0
8 7 1 c0c0c0
9 6 1 c0c0c0
9 7 1 c0c0c0
10 6 1 c0c0c0
10 7 1 c0c0c0
11 6 1 c0c0c0
11 7 1 c0c0c0
2 2 1 606060
2 3 1 606060
2 4 1 606060
2 5 1 606060
2 6 1 606060
3 2 1 606060
3 3 1 606060
3 4 1 606060
3 5 1 606060
3 6 1 606060
4 2 1 606060
4 3 1 606060
4 4 1 606060
4 5 1 606060
4 6 1 606060
5 2 1 606060
5 3 1 606060
5 4 1 606060
5 5 1 606060
