# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 0000ff
0 1 0 0000ff
0 2 0 0000ff
0 3 0 0000ff
0 4 0 0000ff
0 5 0 0000ff
0 6 0 0000ff
0 7 0 0000ff
0 8 0 0000ff
0 9 0 0000ff
0 10 0 0000ff
0 11 0 0000ff
0 12 0 0000ff
0 13 0 0000ff
0 14 0 0000ff
0 15 0 0000ff
0 16 0 0000ff
0 17 0 0000ff
0 18 0 0000ff
0 19 0 0000ff
0 20 0 0000ff
0 21 0 0000ff
0 22 0 0000ff
0 23 0 0000ff
0 24 0 0000ff
0 25 0 0000ff
0 26 0 0000ff
0 27 0 0000ff
0 28 0 0000ff
0 29 0 0000ff
0 30 0 0000ff
0 31 0 0000ff
0 32 0 0000ff
0 33 0 0000ff
0 34 0 0000ff
0 35 0 0000ff
0 36 0 0000ff
0 37 0 0000ff
0 38 0 0000ff
0 39 0 0000ff
0 40 0 0000ff
0 41 0 0000ff
0 42 0 0000ff
0 43 0 0000ff
0 44 0 0000ff
0 45 0 0000ff
0 46 0 0000ff
0 47 0 0000ff
1 0 0 0000ff
1 1 0 0000ff
1 2 0 0000ff
1 3 0 0000ff
1 4 0 0000ff
1 5 0 0000ff
1 6 0 0000ff
1 7 0 0000ff
1 8 0 0000ff
1 9 0 0000ff
1 10 0 0000ff
1 11 0 0000ff
1 12 0 0000ff
1 13 0 0000ff
1 14 0 0000ff
1 15 0 0000ff
1 16 0 0000ff
1 17 0 0000ff
1 18 0 0000ff
1 19 0 0000ff
1 20 0 0000ff
1 21 0 0000ff
1 22 0 0000ff
1 23 0 0000ff
1 24 0 0000ff
1 25 0 0000ff
1 26 0 0000ff
1 27 0 0000ff
1 28 0 0000ff
1 29 0 0000ff
1 30 0 0000ff
1 31 0 0000ff
1 32 0 0000ff
1 33 0 0000ff
1 34 0 0000ff
1 35 0 0000ff
1 36 0 0000ff
1 37 0 0000ff
1 38 0 0000ff
1 39 0 0000ff
1 40 0 0000ff
1 41 0 0000ff
1 42 0 0000ff
1 43 0 0000ff
1 44 0 0000ff
1 45 0 0000ff
1 46 0 0000ff
1 47 0 0000ff
2 0 0 0000ff
2 1 0 0000ff
2 2 0 0000ff
2 3 0 0000ff
2 4 0 0000ff
2 5 0 0000ff
2 6 0 0000ff
2 7 0 0000ff
2 8 0 0000ff
2 9 0 0000ff
2 10 0 0000ff
2 11 0 0000ff
2 12 0 0000ff
2 13 0 0000ff
2 14 0 0000ff
2 15 0 0000ff
2 16 0 0000ff
2 17 0 0000ff
2 18 0 0000ff
2 19 0 0000ff
2 20 0 0000ff
2 21 0 0000ff
2 22 0 0000ff
2 23 0 0000ff
2 24 0 0000ff
2 25 0 0000ff
2 26 0 0000ff
2 27 0 0000ff
2 28 0 0000ff
2 29 0 0000ff
2 30 0 0000ff
2 31 0 0000ff
2 32 0 0000ff
2 33 0 0000ff
2 34 0 0000ff
2 35 0 0000ff
2 36 0 0000ff
2 37 0 0000ff
2 38 0 0000ff
2 39 0 0000ff
2 40 0 0000ff
2 41 0 0000ff
2 42 0 0000ff
2 43 0 0000ff
2 44 0 0000ff
2 45 0 0000ff
2 46 0 0000ff
2 47 0 0000ff
3 0 0 0000ff
3 1 0 0000ff
3 2 0 0000ff
3 3 0 0000ff
3 4 0 0000ff
3 5 0 0000ff
3 6 0 0000ff
3 7 0 0000ff
3 8 0 0000ff
3 9 0 0000ff
3 10 0 0000ff
3 11 0 0000ff
3 12 0 0000ff
3 13 0 0000ff
3 14 0 0000ff
3 15 0 0000ff
3 16 0 0000ff
3 17 0 0000ff
3 18 0 0000ff
3 19 0 0000ff
3 20 0 0000ff
3 21 0 0000ff
3 22 0 0000ff
3 23 0 0000ff
3 24 0 0000ff
3 25 0 0000ff
3 26 0 0000ff
3 27 0 0000ff
3 28 0 0000ff
3 29 0 0000ff
3 30 0 0000ff
3 31 0 0000ff
3 32 0 0000ff
3 33 0 0000ff
3 34 0 0000ff
3 35 0 0000ff
3 36 0 0000ff
3 37 0 0000ff
3 38 0 0000ff
3 39 0 0000ff
3 40 0 0000ff
3 41 0 0000ff
3 42 0 0000ff
3 43 0 0000ff
3 44 0 0000ff
3 45 0 0000ff
3 46 0 0000ff
3 47 0 0000ff
4 0 0 0000ff
4 1 0 0000ff
4 2 0 0000ff
4 3 0 0000ff
4 4 0 0000ff
4 5 0 0000ff
4 6 0 0000ff
4 7 0 0000ff
4 8 0 0000ff
4 9 0 0000ff
4 10 0 0000ff
4 11 0 0000ff
4 12 0 0000ff
4 13 0 0000ff
4 14 0 0000ff
4 15 0 0000ff
4 16 0 0000ff
4 17 0 0000ff
4 18 0 0000ff
4 19 0 0000ff
4 20 0 0000ff
4 21 0 0000ff
4 22 0 0000ff
4 23 0 0000ff
4 24 0 0000ff
4 25 0 0000ff
4 26 0 0000ff
4 27 0 0000ff
4 28 0 0000ff
4 29 0 0000ff
4 30 0 0000ff
4 31 0 0000ff
4 32 0 0000ff
4 33 0 0000ff
4 34 0 0000ff
4 35 0 0000ff
4 36 0 0000ff
4 37 0 0000ff
4 38 0 0000ff
4 39 0 0000ff
4 40 0 0000ff
4 41 0 0000ff
4 42 0 0000ff
4 43 0 0000ff
4 44 0 0000ff
4 45 0 0000ff
4 46 0 0000ff
4 47 0 0000ff
5 0 0 0000ff
5 1 0 0000ff
5 2 0 0000ff
5 3 0 0000ff
5 4 0 0000ff
5 5 0 0000ff
5 6 0 0000ff
5 7 0 0000ff
5 8 0 0000ff
5 9 0 0000ff
5 10 0 0000ff
5 11 0 0000ff
5 12 0 0000ff
5 13 0 0000ff
5 14 0 0000ff
5 15 0 0000ff
5 16 0 0000ff
5 17 0 0000ff
5 18 0 0000ff
5 19 0 0000ff
5 20 0 0000ff
5 21 0 0000ff
5 22 0 0000ff
5 23 0 0000ff
5 24 0 0000ff
5 25 0 0000ff
5 26 0 0000ff
5 27 0 0000ff
5 28 0 0000ff
5 29 0 0000ff
5 30 0 0000ff
5 31 0 0000ff
5 32 0 0000ff
5 33 0 0000ff
5 34 0 0000ff
5 35 0 0000ff
5 36 0 0000ff
5 37 0 0000ff
5 38 0 0000ff
5 39 0 0000ff
5 40 0 0000ff
5 41 0 0000ff
5 42 0 0000ff
5 43 0 0000ff
5 44 0 0000ff
5 45 0 0000ff
5 46 0 0000ff
5 47 0 0000ff
6 0 0 0000ff
6 1 0 0000ff
6 2 0 0000ff
6 3 0 0000ff
6 4 0 0000ff
6 5 0 0000ff
6 6 0 0000ff
6 7 0 0000ff
6 8 0 0000ff
6 9 0 0000ff
6 10 0 0000ff
6 11 0 0000ff
6 12 0 0000ff
6 13 0 0000ff
6 14 0 0000ff
6 15 0 0000ff
6 16 0 0000ff
6 17 0 0000ff
6 18 0 0000ff
6 19 0 0000ff
6 20 0 0000ff
6 21 0 0000ff
6 22 0 0000ff
6 23 0 0000ff
6 24 0 0000ff
6 25 0 0000ff
6 26 0 0000ff
6 27 0 0000ff
6 28 0 0000ff
6 29 0 0000ff
6 30 0 0000ff
6 31 0 0000ff
6 32 0 0000ff
6 33 0 0000ff
6 34 0 0000ff
6 35 0 0000ff
6 36 0 0000ff
6 37 0 0000ff
6 38 0 0000ff
6 39 0 0000ff
6 40 0 0000ff
6 41 0 0000ff
6 42 0 0000ff
6 43 0 0000ff
6 44 0 0000ff
6 45 0 0000ff
6 46 0 0000ff
6 47 0 0000ff
7 0 0 0000ff
7 1 0 0000ff
7 2 0 0000ff
7 3 0 0000ff
7 4 0 0000ff
7 5 0 0000ff
7 6 0 0000ff
7 7 0 0000ff
7 8 0 0000ff
7 9 0 0000ff
7 10 0 0000ff
7 11 0 0000ff
7 12 0 0000ff
7 13 0 0000ff
7 14 0 0000ff
7 15 0 0000ff
7 16 0 0000ff
7 17 0 0000ff
7 18 0 0000ff
7 19 0 0000ff
7 20 0 0000ff
7 21 0 0000ff
7 22 0 0000ff
7 23 0 0000ff
7 24 0 0000ff
7 25 0 0000ff
7 26 0 0000ff
7 27 0 0000ff
7 28 0 0000ff
7 29 0 0000ff
7 30 0 0000ff
7 31 0 0000ff
7 32 0 0000ff
7 33 0 0000ff
7 34 0 0000ff
7 35 0 0000ff
7 36 0 0000ff
7 37 0 0000ff
7 38 0 0000ff
7 39 0 0000ff
7 40 0 0000ff
7 41 0 0000ff
7 42 0 0000ff
7 43 0 0000ff
7 44 0 0000ff
7 45 0 0000ff
7 46 0 0000ff
7 47 0 0000ff
8 0 0 0000ff
8 1 0 0000ff
8 2 0 0000ff
8 3 0 0000ff
8 4 0 0000ff
8 5 0 0000ff
8 6 0 0000ff
8 7 0 0000ff
8 8 0 0000ff
8 9 0 0000ff
8 10 0 0000ff
8 11 0 0000ff
8 12 0 0000ff
8 13 0 0000ff
8 14 0 0000ff
8 15 0 0000ff
8 16 0 0000ff
8 17 0 0000ff
8 18 0 0000ff
8 19 0 0000ff
8 20 0 0000ff
8 21 0 0000ff
8 22 0 0000ff
8 23 0 0000ff
8 24 0 0000ff
8 25 0 0000ff
8 26 0 0000ff
8 27 0 0000ff
8 28 0 0000ff
8 29 0 0000ff
8 30 0 0000ff
8 31 0 0000ff
8 32 0 0000ff
8 33 0 0000ff
8 34 0 0000ff
8 35 0 0000ff
8 36 0 0000ff
8 37 0 0000ff
8 38 0 0000ff
8 39 0 0000ff
8 40 0 0000ff
8 41 0 0000ff
8 42 0 0000ff
8 43 0 0000ff
8 44 0 0000ff
8 45 0 0000ff
8 46 0 0000ff
8 47 0 0000ff
9 0 0 0000ff
9 1 0 0000ff
9 2 0 0000ff
9 3 0 0000ff
9 4 0 0000ff
9 5 0 0000ff
9 6 0 0000ff
9 7 0 0000ff
9 8 0 0000ff
9 9 0 0000ff
9 10 0 0000ff
9 11 0 0000ff
9 12 0 0000ff
9 13 0 0000ff
9 14 0 0000ff
9 15 0 0000ff
9 16 0 0000ff
9 17 0 0000ff
9 18 0 0000ff
9 19 0 0000ff
9 20 0 0000ff
9 21 0 0000ff
9 22 0 0000ff
9 23 0 0000ff
9 24 0 0000ff
9 25 0 0000ff
9 26 0 0000ff
9 27 0 0000ff
9 28 0 0000ff
9 29 0 0000ff
9 30 0 0000ff
9 31 0 0000ff
9 32 0 0000ff
9 33 0 0000ff
9 34 0 0000ff
9 35 0 0000ff
9 36 0 0000ff
9 37 0 0000ff
9 38 0 0000ff
9 39 0 0000ff
9 40 0 0000ff
9 41 0 0000ff
