# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
34 36 1 ffffaa
35 36 1 ffffaa
36 36 1 ffffaa
37 36 1 ffffaa
38 36 1 ffffaa
34 37 2 ffffaa
35 37 2 ffffaa
36 37 2 ffffaa
37 37 2 ffffaa
38 37 2 ffffaa
34 38 3 ffbbaa
35 38 3 ffbbaa
36 38 3 ffbbaa
37 38 3 ffbbaa
38 38 3 ffbbaa
34 39 4 ffbbaa
35 39 4 ffbbaa
36 39 4 ffbbaa
37 39 4 ffbbaa
38 39 4 ffbbaa
34 40 5 ffbaa
35 40 5 ffbaa
36 40 5 ffbaa
37 40 5 ffbaa
38 40 5 ffbaa
34 41 6 ffbaa
35 41 6 ffbaa
36 41 6 ffbaa
37 41 6 ffbaa
38 41 6 ffbaa
34 42 7 ffbaa
35 42 7 ffbaa
36 42 7 ffbaa
37 42 7 ffbaa
38 42 7 ffbaa
34 43 8 ffbaa
35 43 8 ffbaa
36 43 8 ffbaa
37 43 8 ffbaa
38 43 8 ffbaa
34 44 9 ffbaa
35 44 9 ffbaa
36 44 9 ffbaa
37 44 9 ffbaa
38 44 9 ffbaa
34 45 10 ffbaa
35 45 10 ffbaa
36 45 10 ffbaa
37 45 10 ffbaa
38 45 10 ffbaa
39 45 10 ffbaa
40 45 10 ffbaa
41 45 10 ffbaa
42 45 10 ffbaa
43 45 10 ffbaa
44 45 10 ffbaa
45 45 10 ffbaa
34 46 10 ffbaa
35 46 10 ffbaa
36 46 10 ffbaa
37 46 10 ffbaa
38 46 10 ffbaa
39 46 10 ffbaa
40 46 10 ffbaa
41 46 10 ffbaa
42 46 10 ffbaa
43 46 10 ffbaa
44 46 10 ffbaa
45 46 10 ffbaa
34 47 10 ffbaa
35 47 10 ffbaa
36 47 10 ffbaa
37 47 10 ffbaa
38 47 10 ffbaa
39 47 10 ffbaa
40 47 10 ffbaa
41 47 10 ffbaa
42 47 10 ffbaa
43 47 10 ffbaa
44 47 10 ffbaa
45 47 10 ffbaa
