# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
56 1 1 ff0000
56 2 1 ff0000
56 3 1 ff0000
56 4 1 ff0000
56 5 1 ff0000
56 6 1 ff0000
56 7 1 ff0000
56 8 1 ff0000
56 9 1 ff0000
56 10 1 ff0000
56 11 1 ff0000
56 12 1 ff0000
56 13 1 ff0000
56 14 1 ff0000
56 15 1 ff0000
56 16 1 ff0000
56 17 1 ff0000
56 18 1 ff0000
56 19 1 ff0000
56 20 1 ff0000
56 21 1 ff0000
56 22 1 ff0000
56 23 1 ff0000
56 24 1 ff0000
56 25 1 ff0000
56 26 1 ff0000
56 30 1 ff0000
56 31 1 ff0000
56 32 1 ff0000
56 33 1 ff0000
56 34 1 ff0000
56 35 1 ff0000
56 36 1 ff0000
56 37 1 ff0000
56 40 1 ff0000
56 41 1 ff0000
56 42 1 ff0000
56 43 1 ff0000
56 44 1 ff0000
56 45 1 ff0000
56 46 1 ff0000
56 1 2 ff0000
56 2 2 ff0000
56 3 2 ff0000
56 4 2 ff0000
56 5 2 ff0000
56 6 2 ff0000
56 7 2 ff0000
56 8 2 ff0000
56 9 2 ff0000
56 10 2 ff0000
56 11 2 ff0000
56 12 2 ff0000
56 13 2 ff0000
56 14 2 ff0000
56 15 2 ff0000
56 16 2 ff0000
56 17 2 ff0000
56 18 2 ff0000
56 19 2 ff0000
56 20 2 ff0000
56 21 2 ff0000
56 22 2 ff0000
56 23 2 ff0000
56 24 2 ff0000
56 25 2 ff0000
56 26 2 ff0000
56 30 2 ff0000
56 31 2 ff0000
56 32 2 ff0000
56 33 2 ff0000
56 34 2 ff0000
56 35 2 ff0000
56 36 2 ff0000
56 37 2 ff0000
56 40 2 ff0000
56 41 2 ff0000
56 42 2 ff0000
56 43 2 ff0000
56 44 2 ff0000
56 45 2 ff0000
56 46 2 ff0000
56 1 3 ff0000
56 2 3 ff0000
56 3 3 ff0000
56 4 3 ff0000
56 5 3 ff0000
56 6 3 ff0000
56 7 3 ff0000
56 8 3 ff0000
56 9 3 ff0000
56 10 3 ff0000
56 11 3 ff0000
56 12 3 ff0000
56 13 3 ff0000
56 14 3 ff0000
56 15 3 ff0000
56 16 3 ff0000
56 17 3 ff0000
56 18 3 ff0000
56 19 3 ff0000
56 20 3 ff0000
56 21 3 ff0000
56 22 3 ff0000
56 23 3 ff0000
56 24 3 ff0000
56 25 3 ff0000
56 26 3 ff0000
56 30 3 ff0000
56 31 3 ff0000
56 32 3 ff0000
56 33 3 ff0000
56 34 3 ff0000
56 35 3 ff0000
56 36 3 ff0000
56 37 3 ff0000
56 40 3 ff0000
56 41 3 ff0000
56 42 3 ff0000
56 43 3 ff0000
56 44 3 ff0000
56 45 3 ff0000
56 46 3 ff0000
56 1 4 ff0000
56 2 4 ff0000
56 3 4 ff0000
56 4 4 ff0000
56 5 4 ff0000
56 6 4 ff0000
56 7 4 ff0000
56 8 4 ff0000
56 9 4 ff0000
56 10 4 ff0000
56 11 4 ff0000
56 12 4 ff0000
56 13 4 ff0000
56 14 4 ff0000
56 15 4 ff0000
56 16 4 ff0000
56 17 4 ff0000
56 18 4 ff0000
56 19 4 ff0000
56 20 4 ff0000
56 21 4 ff0000
56 22 4 ff0000
56 23 4 ff0000
56 24 4 ff0000
56 25 4 ff0000
56 26 4 ff0000
56 30 4 ff0000
56 31 4 ff0000
56 32 4 ff0000
56 33 4 ff0000
56 34 4 ff0000
56 35 4 ff0000
56 36 4 ff0000
56 37 4 ff0000
56 40 4 ff0000
56 41 4 ff0000
56 42 4 ff0000
56 43 4 ff0000
56 44 4 ff0000
56 45 4 ff0000
56 46 4 ff0000
56 1 5 ff0000
56 2 5 ff0000
56 3 5 ff0000
56 4 5 ff0000
56 5 5 ff0000
56 6 5 ff0000
56 7 5 ff0000
56 8 5 ff0000
56 9 5 ff0000
56 10 5 ff0000
56 11 5 ff0000
56 12 5 ff0000
56 13 5 ff0000
56 14 5 ff0000
56 15 5 ff0000
56 16 5 ff0000
56 17 5 ff0000
56 18 5 ff0000
56 19 5 ff0000
56 20 5 ff0000
56 21 5 ff0000
56 22 5 ff0000
56 23 5 ff0000
56 24 5 ff0000
56 25 5 ff0000
56 26 5 ff0000
56 30 5 ff0000
56 31 5 ff0000
56 32 5 ff0000
56 33 5 ff0000
56 34 5 ff0000
56 35 5 ff0000
56 36 5 ff0000
56 37 5 ff0000
56 40 5 ff0000
56 41 5 ff0000
56 42 5 ff0000
56 43 5 ff0000
56 44 5 ff0000
56 45 5 ff0000
56 46 5 ff0000
56 1 6 ff0000
56 2 6 ff0000
56 3 6 ff0000
56 4 6 ff0000
56 5 6 ff0000
56 6 6 ff0000
56 7 6 ff0000
56 8 6 ff0000
56 9 6 ff0000
56 10 6 ff0000
56 11 6 ff0000
56 12 6 ff0000
56 13 6 ff0000
56 14 6 ff0000
56 15 6 ff0000
56 16 6 ff0000
56 17 6 ff0000
56 18 6 ff0000
56 19 6 ff0000
56 20 6 ff0000
56 21 6 ff0000
56 22 6 ff0000
56 23 6 ff0000
56 24 6 ff0000
56 25 6 ff0000
56 26 6 ff0000
56 30 6 ff0000
56 31 6 ff0000
56 32 6 ff0000
56 33 6 ff0000
56 34 6 ff0000
56 35 6 ff0000
56 36 6 ff0000
56 37 6 ff0000
56 40 6 ff0000
56 41 6 ff0000
56 42 6 ff0000
56 43 6 ff0000
56 44 6 ff0000
56 45 6 ff0000
56 46 6 ff0000
56 1 6 ff0000
56 2 6 ff0000
56 3 6 ff0000
56 4 6 ff0000
56 5 6 ff0000
56 6 6 ff0000
56 7 6 ff0000
56 8 6 ff0000
56 9 6 ff0000
56 10 6 ff0000
56 11 6 ff0000
56 12 6 ff0000
56 13 6 ff0000
56 14 6 ff0000
56 15 6 ff0000
56 16 6 ff0000
56 17 6 ff0000
56 18 6 ff0000
56 19 6 ff0000
56 20 6 ff0000
56 21 6 ff0000
56 22 6 ff0000
56 23 6 ff0000
56 24 6 ff0000
56 25 6 ff0000
56 26 6 ff0000
56 27 6 ff0000
56 28 6 ff0000
56 29 6 ff0000
56 30 6 ff0000
56 31 6 ff0000
56 32 6 ff0000
56 33 6 ff0000
56 34 6 ff0000
56 35 6 ff0000
56 36 6 ff0000
56 37 6 ff0000
56 38 6 ff0000
56 39 6 ff0000
56 40 6 ff0000
56 41 6 ff0000
56 42 6 ff0000
56 43 6 ff0000
56 44 6 ff0000
56 45 6 ff0000
56 46 6 ff0000
56 1 7 ff0000
56 2 7 ff0000
