# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-11 -6 0 ffffff
-10 -6 0 ffffff
-9 -6 0 ffffff
-8 -6 0 ffffff
-7 -6 0 ffffff
-6 -6 0 ffffff
-5 -6 0 ffffff
-12 -5 0 ffffff
-11 -5 0 ffffff
-10 -5 0 ffffff
-9 -5 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-5 -5 0 ffffff
-12 -4 0 ffffff
-11 -4 0 ffffff
-10 -4 0 ffffff
-9 -4 0 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-10 -3 0 ffffff
-9 -3 0 ffffff
-8 -3 0 ffffff
-11 -6 1 ffffff
-10 -6 1 ffffff
-9 -6 1 ffffff
-8 -6 1 ffffff
-7 -6 1 ffffff
-6 -6 1 ffffff
-5 -6 1 ffffff
-11 -5 1 ffffff
-10 -5 1 ffffff
-9 -5 1 ffffff
-8 -5 1 ffffff
-5 -5 1 ffffff
-11 -4 1 ffffff
-10 -4 1 ffffff
-9 -4 1 ffffff
-7 -4 1 ffffff
-6 -4 1 ffffff
-5 -4 1 ffffff
-10 -6 2 ffffff
-9 -6 2 ffffff
-8 -6 2 ffffff
-7 -6 2 ffffff
-6 -6 2 ffffff
-9 -5 2 ffffff
-8 -5 2 ffffff
-8 -6 3 ffffff
