# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
8 35 0 AABB22
8 35 1 AABB22
8 35 2 AABB22
8 35 3 AABB22
8 35 4 AABB22
8 35 5 AABB22
8 35 6 AABB22
8 35 7 AABB22
8 35 8 AABB22
8 35 9 AABB22
8 36 0 AABB22
8 36 1 AABB22
8 36 2 AABB22
8 36 3 AABB22
8 36 4 AABB22
8 36 5 AABB22
8 36 6 AABB22
8 36 7 AABB22
8 36 8 AABB22
8 36 9 AABB22
8 37 0 AABB22
8 37 1 AABB22
8 37 2 AABB22
8 37 3 AABB22
8 37 4 AABB22
8 37 5 AABB22
8 37 6 AABB22
8 37 7 AABB22
8 37 8 AABB22
8 37 9 AABB22
8 38 0 AABB22
8 38 1 AABB22
8 38 2 AABB22
8 38 3 AABB22
8 38 4 AABB22
8 38 5 AABB22
8 38 6 AABB22
8 38 7 AABB22
8 38 8 AABB22
8 38 9 AABB22
8 39 0 AABB22
8 39 1 AABB22
8 39 2 AABB22
8 39 3 AABB22
8 39 4 AABB22
8 39 5 AABB22
8 39 6 AABB22
8 39 7 AABB22
8 39 8 AABB22
8 39 9 AABB22
8 40 0 AABB22
8 40 1 AABB22
8 40 2 AABB22
8 40 3 AABB22
8 40 4 AABB22
8 40 5 AABB22
8 40 6 AABB22
8 40 7 AABB22
8 40 8 AABB22
8 40 9 AABB22
8 41 0 AABB22
8 41 1 AABB22
8 41 2 AABB22
8 41 3 AABB22
8 41 4 AABB22
8 41 5 AABB22
8 41 6 AABB22
8 41 7 AABB22
8 41 8 AABB22
8 41 9 AABB22
8 42 0 AABB22
8 42 1 AABB22
8 42 2 AABB22
8 42 3 AABB22
8 42 4 AABB22
8 42 5 AABB22
8 42 6 AABB22
8 42 7 AABB22
8 42 8 AABB22
8 42 9 AABB22
8 43 0 AABB22
8 43 1 AABB22
8 43 2 AABB22
8 43 3 AABB22
8 43 4 AABB22
8 43 5 AABB22
8 43 6 AABB22
8 43 7 AABB22
8 43 8 AABB22
8 43 9 AABB22
8 44 0 AABB22
8 44 1 AABB22
8 44 2 AABB22
8 44 3 AABB22
8 44 4 AABB22
8 44 5 AABB22
8 44 6 AABB22
8 44 7 AABB22
8 44 8 AABB22
8 44 9 AABB22
8 45 0 AABB22
8 45 1 AABB22
8 45 2 AABB22
8 45 3 AABB22
8 45 4 AABB22
8 45 5 AABB22
8 45 6 AABB22
8 45 7 AABB22
8 45 8 AABB22
8 45 9 AABB22
8 46 0 AABB22
8 46 1 AABB22
8 46 2 AABB22
8 46 3 AABB22
8 46 4 AABB22
8 46 5 AABB22
8 46 6 AABB22
8 46 7 AABB22
8 46 8 AABB22
8 46 9 AABB22
