# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
24 36 0 007700
24 36 1 007700
24 36 2 007700
24 36 3 007700
24 36 4 007700
24 36 5 007700
24 36 6 007700
24 36 7 007700
24 36 8 007700
24 36 9 007700
25 36 0 007700
25 36 1 007700
25 36 2 007700
25 36 3 007700
25 36 4 007700
25 36 5 007700
25 36 6 007700
25 36 7 007700
25 36 8 007700
25 36 9 007700
26 36 0 007700
26 36 1 007700
26 36 2 007700
26 36 3 007700
26 36 4 007700
26 36 5 007700
26 36 6 007700
26 36 7 007700
26 36 8 007700
26 36 9 007700
27 36 0 007700
27 36 1 007700
27 36 2 007700
27 36 3 007700
27 36 4 007700
27 36 5 007700
27 36 6 007700
27 36 7 007700
27 36 8 007700
27 36 9 007700
28 36 0 007700
28 36 1 007700
28 36 2 007700
28 36 3 007700
28 36 4 007700
28 36 5 007700
28 36 6 007700
28 36 7 007700
28 36 8 007700
28 36 9 007700
29 36 0 007700
29 36 1 007700
29 36 2 007700
29 36 3 007700
29 36 4 007700
29 36 5 007700
29 36 6 007700
29 36 7 007700
29 36 8 007700
29 36 9 007700
32 36 0 007700
32 36 1 007700
32 36 2 007700
32 36 3 007700
32 36 4 007700
32 36 5 007700
32 36 6 007700
32 36 7 007700
32 36 8 007700
32 36 9 007700
33 36 0 007700
33 36 1 007700
33 36 2 007700
33 36 3 007700
33 36 4 007700
33 36 5 007700
33 36 6 007700
33 36 7 007700
33 36 8 007700
33 36 9 007700
24 36 7 007700
24 36 8 007700
24 36 9 007700
25 36 7 007700
25 36 8 007700
25 36 9 007700
26 36 7 007700
26 36 8 007700
26 36 9 007700
27 36 7 007700
27 36 8 007700
27 36 9 007700
28 36 7 007700
28 36 8 007700
28 36 9 007700
29 36 7 007700
29 36 8 007700
29 36 9 007700
30 36 7 007700
30 36 8 007700
30 36 9 007700
31 36 7 007700
31 36 8 007700
31 36 9 007700
32 36 7 007700
32 36 8 007700
32 36 9 007700
33 36 7 007700
33 36 8 007700
33 36 9 007700
