# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
57 36 0 00BBAA
57 36 1 00BBAA
57 36 2 00BBAA
57 36 3 00BBAA
57 36 4 00BBAA
57 36 5 00BBAA
57 36 6 00BBAA
57 36 7 00BBAA
57 36 8 00BBAA
57 36 9 00BBAA
58 36 0 00BBAA
58 36 1 00BBAA
58 36 2 00BBAA
58 36 3 00BBAA
58 36 4 00BBAA
58 36 5 00BBAA
58 36 6 00BBAA
58 36 7 00BBAA
58 36 8 00BBAA
58 36 9 00BBAA
59 36 0 00BBAA
59 36 1 00BBAA
59 36 2 00BBAA
59 36 3 00BBAA
59 36 4 00BBAA
59 36 5 00BBAA
59 36 6 00BBAA
59 36 7 00BBAA
59 36 8 00BBAA
59 36 9 00BBAA
60 36 0 00BBAA
60 36 1 00BBAA
60 36 2 00BBAA
60 36 3 00BBAA
60 36 4 00BBAA
60 36 5 00BBAA
60 36 6 00BBAA
60 36 7 00BBAA
60 36 8 00BBAA
60 36 9 00BBAA
61 36 0 00BBAA
61 36 1 00BBAA
61 36 2 00BBAA
61 36 3 00BBAA
61 36 4 00BBAA
61 36 5 00BBAA
61 36 6 00BBAA
61 36 7 00BBAA
61 36 8 00BBAA
61 36 9 00BBAA
62 36 0 00BBAA
62 36 1 00BBAA
62 36 2 00BBAA
62 36 3 00BBAA
62 36 4 00BBAA
62 36 5 00BBAA
62 36 6 00BBAA
62 36 7 00BBAA
62 36 8 00BBAA
62 36 9 00BBAA
63 36 0 00BBAA
63 36 1 00BBAA
63 36 2 00BBAA
63 36 3 00BBAA
63 36 4 00BBAA
63 36 5 00BBAA
63 36 6 00BBAA
63 36 7 00BBAA
63 36 8 00BBAA
63 36 9 00BBAA
64 36 0 00BBAA
64 36 1 00BBAA
64 36 2 00BBAA
64 36 3 00BBAA
64 36 4 00BBAA
64 36 5 00BBAA
64 36 6 00BBAA
64 36 7 00BBAA
64 36 8 00BBAA
64 36 9 00BBAA
65 36 0 00BBAA
65 36 1 00BBAA
65 36 2 00BBAA
65 36 3 00BBAA
65 36 4 00BBAA
65 36 5 00BBAA
65 36 6 00BBAA
65 36 7 00BBAA
65 36 8 00BBAA
65 36 9 00BBAA
66 36 0 00BBAA
66 36 1 00BBAA
66 36 2 00BBAA
66 36 3 00BBAA
66 36 4 00BBAA
66 36 5 00BBAA
66 36 6 00BBAA
66 36 7 00BBAA
66 36 8 00BBAA
66 36 9 00BBAA
67 36 0 00BBAA
67 36 1 00BBAA
67 36 2 00BBAA
67 36 3 00BBAA
67 36 4 00BBAA
67 36 5 00BBAA
67 36 6 00BBAA
67 36 7 00BBAA
67 36 8 00BBAA
67 36 9 00BBAA
71 36 0 00BBAA
71 36 1 00BBAA
71 36 2 00BBAA
71 36 3 00BBAA
71 36 4 00BBAA
71 36 5 00BBAA
71 36 6 00BBAA
71 36 7 00BBAA
71 36 8 00BBAA
71 36 9 00BBAA
72 36 0 00BBAA
72 36 1 00BBAA
72 36 2 00BBAA
72 36 3 00BBAA
72 36 4 00BBAA
72 36 5 00BBAA
72 36 6 00BBAA
72 36 7 00BBAA
72 36 8 00BBAA
72 36 9 00BBAA
73 36 0 00BBAA
73 36 1 00BBAA
73 36 2 00BBAA
73 36 3 00BBAA
73 36 4 00BBAA
73 36 5 00BBAA
73 36 6 00BBAA
73 36 7 00BBAA
73 36 8 00BBAA
73 36 9 00BBAA
74 36 0 00BBAA
74 36 1 00BBAA
74 36 2 00BBAA
74 36 3 00BBAA
74 36 4 00BBAA
74 36 5 00BBAA
74 36 6 00BBAA
74 36 7 00BBAA
74 36 8 00BBAA
74 36 9 00BBAA
75 36 0 00BBAA
75 36 1 00BBAA
75 36 2 00BBAA
75 36 3 00BBAA
75 36 4 00BBAA
75 36 5 00BBAA
75 36 6 00BBAA
75 36 7 00BBAA
75 36 8 00BBAA
75 36 9 00BBAA
76 36 0 00BBAA
76 36 1 00BBAA
76 36 2 00BBAA
76 36 3 00BBAA
76 36 4 00BBAA
76 36 5 00BBAA
76 36 6 00BBAA
76 36 7 00BBAA
76 36 8 00BBAA
76 36 9 00BBAA
77 36 0 00BBAA
77 36 1 00BBAA
77 36 2 00BBAA
77 36 3 00BBAA
77 36 4 00BBAA
77 36 5 00BBAA
77 36 6 00BBAA
77 36 7 00BBAA
